"","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30","PC_31","PC_32","PC_33","PC_34","PC_35","PC_36","PC_37","PC_38","PC_39","PC_40","PC_41","PC_42","PC_43","PC_44","PC_45","PC_46","PC_47","PC_48","PC_49","PC_50"
"D28-1_74",-7.02250704062873,-0.484039217938077,0.24184278999676,-0.53281973323871,2.43454003632072,-3.3140150235851,0.105044609390144,-2.16356023077908,-0.670425382151085,1.08861054179988,-1.13809354378055,0.0366557285138606,1.26709192493302,5.23120978028549,0.708100982538904,1.50244310439966,1.26233876158436,-0.832461596115989,0.14459023853189,3.95424244195224,1.53405898858289,3.09293802840128,-0.977941341998166,0.999644451095931,0.0476974438638651,-0.211744050954066,-1.02916239081194,-0.395346011825513,-2.51641004276651,-1.45580366492518,-0.92417325077101,-0.199678126031871,0.189276825358837,-0.47041898302991,0.502521087811104,-0.215956755633756,-0.040944684521533,0.440145885204544,-0.174847347083786,-1.38369020676958,-1.51485660657524,-1.3179133446676,-0.0367662418206412,-2.14126963132711,0.358228243047957,0.587186434023465,-0.940762894404375,0.136019512874019,0.342417723596793,1.03347321840182
"D28-1_76",-8.35294512348893,-0.87154940081377,-0.311398444884615,-0.2832160577825,1.66136809911107,-2.06157166541941,0.380350952762622,-4.77920514042695,-1.27333691085167,0.97935651474969,0.796180720339049,-0.800316042376361,-1.55472882972002,7.09227905239562,0.693260472256907,2.36974970642251,1.18701621462918,-0.044800017798707,0.0196325003399584,-2.06583217783861,-1.1431652475588,-0.118612401066201,-0.230574411333977,-1.49072978851141,-0.98277673920316,-0.135707474221044,-0.47713250324869,0.704801700028424,0.193888658931476,0.655232649742615,1.06685253749399,-0.102865392527393,0.433355304407739,0.252740975337017,0.933041491965226,-0.0196614773851687,-0.146853855032078,0.981039435836459,1.05238544539273,1.28184093459972,0.202757759338007,0.151019684180659,-1.08055194428607,0.390284602588007,-0.427906215678822,-2.1293286647811,-0.686749411351298,-0.389581517808828,-0.61571769992731,-2.34995307743736
"D28-1_85",-1.06478127480937,4.75111506488228,-5.75638306863187,0.158968388190127,-2.08733916199375,2.24902538021478,1.04768582443332,-6.61412769406534,-0.721630599640199,-0.931172301787675,0.374871610478319,-0.149632535913757,0.531317938998274,10.9532845214042,2.4805576797498,1.19096528347383,1.04826876307391,-1.31330427572282,0.32697642165556,4.01869087422381,0.797161141421722,1.3031481833875,-0.188378546279575,-0.574020763161207,-0.0370269201616244,0.861217852097452,0.995286686719888,-0.381409277370274,-1.26373000459217,-1.32426746382289,-0.477941630455839,0.502911665105511,0.141506294698771,-1.17636826150917,0.870540405745219,0.511572662996709,-0.430053386501681,0.572629992279682,-0.0568166296965259,-2.25420756704817,-0.591680003806779,-0.532235534581685,0.181388522343204,-0.588595566411341,-0.560202552841804,-0.521245030914176,-0.873204751248098,-0.748396939571052,1.4505167961361,0.959472405811531
"D28-2_37",-6.89816560117755,0.386884369876248,-0.747919150431586,-0.375518222921637,0.549288822298516,-1.64394649233859,0.67953741485302,-3.23077136087634,-0.435806764907498,1.2113266000823,-0.495007235084133,-0.266274288180865,0.102746735628991,8.06832730338593,1.45626924332656,2.67553114692763,1.45148730464507,-0.0778397003054346,1.49384168348069,3.30458464281535,2.18825788334306,1.40746119331687,-0.175349365924803,1.82584720443215,1.26909182518082,0.0982611310512164,-0.353402322049944,-0.247816367310557,-0.94101011399693,-0.929047766209252,-1.06122384259778,-0.610763912489318,0.184557478998594,0.0569813839908497,0.336508209687491,0.94338898673728,-0.694493695141607,-0.206359475644627,-0.0469444519912502,0.120281476216412,-1.59635709838505,-0.246260277625637,-0.798070770605655,-1.22161110268305,0.159414712806056,-0.0211663907229608,0.0434048202763011,0.128973403383021,1.16686414937841,1.10051833913784
"D28-2_63",-5.94817364816256,-0.878230308378547,-0.785862547300638,-0.497648612078263,-0.159164624183772,0.0905387634378874,0.814116369307234,-6.47940813584247,-0.47434917821671,0.656818445510613,-0.0922644654379226,-0.969692557723931,1.83380698687607,13.9390142652066,1.91586571660156,-0.237970711578848,-0.277462350738092,-2.59825524869608,0.0539332615971393,4.98004009428766,3.78686685465148,0.0207577855622095,-0.52250933523973,-2.52142082476544,-1.61503305085291,1.01926644385942,0.465661093435165,-1.09363857052404,-0.415788720541911,-0.251336470190792,-1.67052949312909,0.234373013026478,-0.880132696142652,-0.687834973863942,1.45187707620346,0.494228801780678,0.169218422967064,-1.01904306641256,-0.897945794785678,-1.15878098454405,-0.369836476242294,0.0121503831711004,0.322367015168035,0.253106962539204,1.0054414453919,-0.455156062087638,-0.468222509452157,-0.154283908962353,0.585360696151166,1.77580637116835
"D28-2_91",-6.22636858058515,-0.582828529873337,0.535851585867512,-0.175069816517491,-0.520605744404695,1.66445404121756,0.541690948959354,-7.29223212195361,-1.64602038682974,0.292021044028132,0.206487310742614,-0.928048055295784,0.276105253992313,13.0205074220763,1.84238093262527,2.79572813428423,1.49542774209523,-0.0607808256348196,0.223297007537595,3.9492141360742,2.39804378114406,1.62396225111789,0.0152713072047835,-1.01067253575882,-0.00909862314105886,0.568869323097929,-0.0303665941381982,0.368983198649687,-1.61545716084557,-1.55728742311626,-0.13323155076748,-0.0222666938290166,0.0460871125831559,-0.108901792761276,-0.0458295742881803,0.0985379035817885,-0.706808263798945,0.632383375933612,-0.585854498898601,-1.14826123186973,-1.38276915732396,-1.30257694096137,-0.280741949896761,0.118546824927995,1.25107105664908,-1.366382768569,-1.34758169061463,-1.13421604487837,1.77038798909313,0.858667235645882
"D28-3_14",-5.73739393599782,-0.239884615230265,0.808133131982972,-0.915998851529222,0.456562882024606,0.915053915163749,1.64575687630324,-7.28248042641708,-1.49144799902848,2.41072957526796,-0.274765838463954,-1.26577349623948,0.213465165027955,11.8162150379152,1.64120063356476,1.35281979828319,0.446096748544881,-0.110745231924086,-0.264784226624909,3.06192375023305,2.49327595136563,-0.360114227597423,-0.554306039884605,1.12439561251878,-0.777179677687599,-0.10756464538976,-1.33305515730861,-0.142899027199812,-0.399873343707574,-0.187490001829149,-2.05196850160416,0.498389393928513,-0.231860374765509,0.991973094997682,-0.717611994390696,-0.457440399453598,-0.481463235602782,0.295384796323268,-0.0862313221718709,-0.349923176704242,-1.79798822850759,-1.39373444005548,-0.8393389716666,-0.991274199880152,0.700333467692562,0.784670476243845,0.316855036805116,-0.780963524125878,-1.01011360456425,-0.695211390587294
"D28-3_18",-7.7454145743094,-1.66431719302849,1.759985086276,-1.34697888214488,-0.00614008625861687,-1.10941724987312,0.280465590882845,-8.0663191095987,-2.58866780822943,0.303423654362883,1.05354053165786,-0.548225669180297,-0.150974772309214,11.9214254987788,1.86412737691768,2.38052217142652,1.00014514262353,-1.79662825270065,0.911386040232808,0.0742611500079097,1.41561441106725,0.387156528326014,-0.158621220740186,0.141361251915158,-1.07523401767426,-0.313718612863464,0.697204943502803,0.1271266590281,-0.716011485369736,-0.0717263433460302,0.546384579812182,-0.307440087595475,-0.803301507274454,-0.0134951775731496,-0.274626484635413,0.527690462373649,0.0958351640987929,-0.43635880894733,-0.0455061839550953,-0.148100936924557,-0.75067268505518,-0.674685254220681,0.135062144149255,1.13442496669374,2.57800096956521,-0.509378130891236,0.353090544810864,1.14287451226829,0.52838701175858,0.0259195404827969
"D28-4_26",-6.23886344908371,0.104908395690294,-1.24315806909999,-0.0658930170819943,-0.264754122997885,0.0181484360237592,1.12442802373968,-7.98059797991252,-2.18522157638419,1.99588002697793,0.176383173512326,0.265717760468747,-0.370660755324783,10.7762939573078,1.36959502532337,1.96527434678302,-0.0335042394607585,-1.44985346107175,0.44475152682235,5.71174039500243,1.88437087616493,0.406895376336222,0.760289802837143,-0.331757070442112,-1.92011161446509,-1.30883703840364,0.15910006278776,-0.447870889380134,0.0608767849788673,-0.246598845243331,-0.65255190192746,0.0436489703846161,-1.75935944975644,1.19305144829736,-0.0415590825720881,2.01571650945996,-0.576430508137297,-1.57087133930438,1.90454064529876,0.745385247436168,-0.629520793382295,1.35778916375281,-0.10519709183291,-1.94649041972463,-0.247060224062203,-1.6124375306959,-0.0979458678152457,2.05294733802511,-0.444937843992444,-0.0946244098831554
"D28-4_38",-7.22661160892873,0.0905360726652273,0.539745706838906,-0.66426334848289,-0.311427820965985,0.9908004583661,0.840887448846334,-8.80528211211814,-1.21648181090866,2.184884124778,0.330846191893757,-1.10586207019365,0.880465141676983,12.858018389316,2.67853882638418,2.56897153896844,1.30193332176073,-0.904340680487918,-0.606744974520383,3.8656848101182,1.33790981869561,0.775840264792334,0.0422135261990041,0.000575337278797855,-0.525144362232918,-0.398873893508803,-1.24877664381617,-0.258520976932341,-0.953654860774939,-1.95205463262344,-2.04237855262565,-0.181295832807334,0.670444660539131,-0.184954114207579,0.487784037726125,-0.0787085877952828,0.0467160531471248,-0.25822740275296,0.0317779963266934,-0.485148583405744,-0.97316371500679,-0.444742677896441,0.147971870439873,-0.75510713235391,-0.0337466831282587,-1.07078834747603,0.901485066074555,1.12699600167949,-0.556826573846961,1.74511865878857
