"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MNDA",2.95003171966932e-13,-0.390586478051967,0.629,0.7,7.05677087662097e-09,"0","MNDA"
"RGS2",6.85151385852605e-13,-0.282103271332853,0.585,0.739,1.63895063009802e-08,"0","RGS2"
"KLF6",1.319781779994e-12,-0.28438771919266,0.735,0.847,3.15704999592365e-08,"0","KLF6"
"S100A8",1.49399270769292e-12,-0.971392193258756,0.694,0.649,3.57377995607224e-08,"0","S100A8"
"MSN",2.97913997520934e-12,-0.260331267427023,0.7,0.816,7.12640073469827e-08,"0","MSN"
"LYST",6.14350203860412e-12,-0.276491696093325,0.537,0.671,1.46958712265449e-07,"0","LYST"
"ZFAND5",6.63834812947967e-12,-0.251414585704101,0.5,0.639,1.58795925605283e-07,"0","ZFAND5"
"HLA-DRB5",9.67175409047132e-12,0.300945675375355,0.609,0.478,2.31358029598164e-07,"0","HLA-DRB5"
"RPS19",4.78975953423076e-11,-0.301016406220747,0.691,0.801,1.14575837818334e-06,"0","RPS19"
"FCN1",1.0304674249835e-09,-0.308412672023231,0.793,0.837,2.46498112730304e-05,"0","FCN1"
"HLA-DRA",5.23895276039840e-09,0.409294752924807,0.881,0.849,0.00012532098898149,"0","HLA-DRA"
"VCAN",2.09119154318893e-07,-0.615458875369,0.749,0.67,0.00500233929046225,"0","VCAN"
"HLA-DPB1",7.15532504596744e-07,0.499745692849334,0.715,0.668,0.0171162530424587,"0","HLA-DPB1"
"HLA-DPA1",3.03241548227923e-06,0.397150772205122,0.761,0.71,0.0725384107516014,"0","HLA-DPA1"
"CD74",2.08483851950246e-05,0.361057132714223,0.927,0.945,0.498714222250183,"0","CD74"
"HLA-DRB1",3.64717237308798e-05,0.354266395877437,0.866,0.861,0.872440103366376,"0","HLA-DRB1"
"LYZ",0.00349096629943585,-0.449797024694056,0.933,0.805,1,"0","LYZ"
"LYZ.1",2.78721671958393e-170,-2.56265155946926,0.389,0.905,6.66730111491673e-166,"1","LYZ"
"FCGR3A",8.36320187773967e-167,1.63087151878393,0.926,0.292,2.00056152117411e-162,"1","FCGR3A"
"S100A9.1",9.42581790232728e-142,-2.8339036682679,0.324,0.837,2.25474990041571e-137,"1","S100A9"
"FCGR3B",9.06807990073092e-138,0.967925214925815,0.765,0.201,2.16917539305384e-133,"1","FCGR3B"
"VCAN.1",4.94383604694841e-137,-2.49558366147348,0.165,0.774,1.18261502079053e-132,"1","VCAN"
"S100A8.1",3.59745531401815e-130,-2.49146572861744,0.13,0.748,8.60547285666281e-126,"1","S100A8"
"CDKN1C",2.54439166190849e-120,0.906338305031736,0.672,0.169,6.0864392944513e-116,"1","CDKN1C"
"FOS",3.67172265361138e-115,-1.41257032753421,0.561,0.912,8.78312775970378e-111,"1","FOS"
"FCN1.1",8.69485912428508e-103,-1.31572133895538,0.515,0.882,2.07989725112023e-98,"1","FCN1"
"MTSS1",1.34770054014365e-95,0.728223338145687,0.639,0.198,3.22383446207761e-91,"1","MTSS1"
"CD14",7.31721487515832e-92,-1.13980797704218,0.059,0.598,1.75035097028662e-87,"1","CD14"
"NAP1L1.1",4.88881964494039e-85,0.907083904456315,0.891,0.576,1.16945454726619e-80,"1","NAP1L1"
"MNDA.1",1.81996510589531e-80,-1.02187932887787,0.32,0.748,4.35353852981218e-76,"1","MNDA"
"MS4A6A",3.07987025978441e-71,-0.813201392580244,0.063,0.539,7.3673576484303e-67,"1","MS4A6A"
"TCF7L2",3.3009978584465e-70,0.588001225477253,0.541,0.174,7.89631697718988e-66,"1","TCF7L2"
"MS4A7.1",3.42451752269731e-68,0.738959694030043,0.8,0.418,8.19178836604424e-64,"1","MS4A7"
"GPX1",1.41680620231652e-65,-0.774235757733068,0.187,0.623,3.38914211656134e-61,"1","GPX1"
