"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRBC2",3.67273049553649e-72,1.76718689064049,0.546,0.031,9.68168485928373e-68
"SLC38A1",1.67863188725801e-69,1.66084206110105,0.557,0.038,4.42504151800083e-65
"ETS1",8.29415567362641e-69,1.96767573285488,0.787,0.158,2.18642237712466e-64
"SYNE2",3.09342811344332e-65,2.22885088439888,0.592,0.063,8.15458584984794e-61
"CD247",1.92638592350577e-64,1.6906734983087,0.431,0.013,5.07814593295356e-60
"PTPRCAP",1.52044632609244e-62,1.45512149199045,0.511,0.035,4.00804856021228e-58
"GNLY",3.06572698190154e-62,2.67881011886874,0.506,0.041,8.08156289699065e-58
"PRF1",2.99198703311364e-56,2.08878755922936,0.408,0.018,7.88717701799088e-52
"GZMB",5.74894221289784e-55,1.61704693723963,0.362,0.008,1.515478656742e-50
"GZMA",5.22639796749266e-51,1.29148799365966,0.333,0.007,1.37773076821074e-46
"LCK",5.23652409171871e-51,1.28213655723087,0.379,0.017,1.38040011581797e-46
"FGFBP2",5.50496008465776e-51,1.46497869783549,0.339,0.008,1.45116252791663e-46
"SPOCK2",2.21266935185212e-50,1.36965815799195,0.414,0.027,5.83281767841736e-46
"CCL5",9.53508823996187e-48,1.87326528831239,0.379,0.024,2.51354461093635e-43
"RP11-94L15.2",1.71607468871222e-44,0.855603292154487,0.299,0.007,4.52374448691428e-40
"IL2RB",2.98484120573312e-44,1.19523010379691,0.328,0.014,7.86833990243306e-40
"ZAP70",3.79219488704869e-42,0.986277090724198,0.345,0.022,9.99660494174905e-38
"GZMH",5.35995414212026e-41,1.19357922455245,0.276,0.007,1.41293751140432e-36
"BCL2",5.9144719954839e-40,1.01430039699312,0.282,0.01,1.55911396272951e-35
"CTSW",7.37727282134197e-40,1.05849351534163,0.276,0.008,1.94472288843396e-35
"TRAC",1.79824430087199e-38,0.924351424571255,0.282,0.011,4.74035180152865e-34
"LBH",4.33435284396081e-36,0.932329552162692,0.339,0.031,1.14257875319651e-31
"MATK",2.36479497505496e-35,0.814420207126315,0.23,0.004,6.23383603374237e-31
"IL7R",3.97854272050928e-35,1.73594255684434,0.333,0.032,1.04878364655345e-30
"PRKCH",1.46821499767477e-34,0.845205237585782,0.259,0.011,3.87036155537047e-30
"TBX21",2.52491058663394e-34,0.736146332793235,0.201,0,6.65591679742573e-30
"CD3D",2.53555421619193e-34,1.11893500649809,0.287,0.02,6.68397446930354e-30
"ITGB7",3.124240894229e-34,0.763261309927288,0.23,0.006,8.23581142127708e-30
"ARL4C",3.63085296470193e-34,1.46147628449765,0.575,0.154,9.57129150025075e-30
"MYBL1",2.3182839113888e-33,0.904753818729394,0.218,0.004,6.11122821881201e-29
"ABLIM1",7.11142627395505e-33,1.00718970110456,0.264,0.015,1.87464308007729e-28
"CD3E",1.16922421367306e-32,0.903041221908629,0.247,0.011,3.08219194966356e-28
"NKG7",2.63126998203312e-32,0.93058505747785,0.253,0.014,6.93629079963751e-28
"TGFBR3",2.99530699289881e-31,0.837431764458592,0.218,0.007,7.89592876398055e-27
"SYNE1",6.10648736846711e-31,1.64851875447574,0.575,0.174,1.60973113520161e-26
"SPON2",2.90983448678226e-30,1.20207426169252,0.241,0.014,7.67061469060672e-26
"CARD11",5.33079972882394e-29,0.71037185313915,0.23,0.013,1.40525211651528e-24
"CD8A",1.48406796526326e-28,1.17268452415483,0.195,0.006,3.91215156323049e-24
"SLAMF6",2.23390473635887e-28,0.640631047566654,0.195,0.006,5.88879627551562e-24
"CCND2",2.59535422661612e-28,0.956587825297702,0.259,0.022,6.84161327678275e-24
"CD3G",3.61260992080763e-28,0.810317534761456,0.23,0.014,9.52320101224099e-24
"CD96",4.64765536386892e-28,0.752812352233799,0.224,0.013,1.22516843046949e-23
"GOLGA8A",4.79274692736842e-28,0.849784541178257,0.345,0.05,1.26341601752359e-23
"CD2",2.23826266262994e-27,0.76604292510364,0.207,0.01,5.90028420495879e-23
"GPR56",2.53845399762888e-27,0.760333730644303,0.207,0.01,6.69161858314948e-23
"CST7",2.90961726638199e-27,0.731907081420831,0.195,0.007,7.67004207590958e-23
"PSAP",4.31951840025639e-27,-0.509274240839644,1,1,1.13866824549159e-22
"BCL11B",5.44473009585722e-27,0.923665645930024,0.241,0.02,1.43528530056892e-22
"PARP8",2.95796417535106e-26,0.835844382562614,0.316,0.046,7.79748936264292e-22
"EMB",6.70424512460945e-26,0.824877035102127,0.27,0.031,1.7673060572983e-21
