"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP015.876","SeuratProject",1753,947,0.045045045045045,"Singlet","4","4"
"HIP015.877","SeuratProject",1887,952,0.0630630630630631,"Singlet","0","0"
"HIP015.878","SeuratProject",1581,958,0.0900900900900901,"Singlet","0","0"
"HIP015.879","SeuratProject",1598,950,0.036036036036036,"Singlet","3","3"
"HIP015.880","SeuratProject",1719,961,0.018018018018018,"Singlet","2","2"
"HIP015.881","SeuratProject",1901,931,0.027027027027027,"Singlet","0","0"
"HIP015.882","SeuratProject",1885,952,0.045045045045045,"Singlet","4","4"
"HIP015.883","SeuratProject",1647,956,0.18018018018018,"Singlet","0","0"
"HIP015.884","SeuratProject",1827,949,0,"Singlet","0","0"
"HIP015.886","SeuratProject",3496,952,0.0630630630630631,"Singlet","4","4"
"HIP015.887","SeuratProject",1759,959,0.027027027027027,"Singlet","2","2"
"HIP015.888","SeuratProject",1822,966,0.0540540540540541,"Singlet","1","1"
"HIP015.889","SeuratProject",1784,961,0.0990990990990991,"Singlet","4","4"
"HIP015.891","SeuratProject",1698,960,0.018018018018018,"Singlet","0","0"
"HIP015.892","SeuratProject",1716,959,0.0630630630630631,"Singlet","0","0"
"HIP015.894","SeuratProject",2497,940,0.00900900900900901,"Singlet","4","4"
"HIP015.895","SeuratProject",1559,966,0.207207207207207,"Singlet","2","2"
"HIP015.896","SeuratProject",1673,954,0.018018018018018,"Singlet","0","0"
"HIP015.897","SeuratProject",1983,965,0.0540540540540541,"Singlet","1","1"
"HIP015.898","SeuratProject",2005,964,0.045045045045045,"Singlet","2","2"
"HIP015.900","SeuratProject",1631,957,0.0810810810810811,"Singlet","2","2"
"HIP015.901","SeuratProject",1740,973,0.0720720720720721,"Singlet","3","3"
"HIP015.902","SeuratProject",1955,967,0.045045045045045,"Singlet","0","0"
"HIP015.903","SeuratProject",1765,968,0.189189189189189,"Singlet","5","5"
"HIP015.904","SeuratProject",1862,965,0.0900900900900901,"Singlet","0","0"
"HIP015.905","SeuratProject",1761,966,0,"Singlet","0","0"
"HIP015.906","SeuratProject",1789,962,0.018018018018018,"Singlet","0","0"
"HIP015.907","SeuratProject",1910,968,0.0630630630630631,"Singlet","1","1"
"HIP015.908","SeuratProject",2013,945,0.027027027027027,"Singlet","4","4"
"HIP015.909","SeuratProject",1707,976,0.108108108108108,"Singlet","2","2"
"HIP015.910","SeuratProject",1732,965,0.0540540540540541,"Singlet","2","2"
"HIP015.911","SeuratProject",1772,962,0.045045045045045,"Singlet","0","0"
"HIP015.912","SeuratProject",2034,968,0.315315315315315,"Singlet","7","7"
"HIP015.913","SeuratProject",2071,974,0.0720720720720721,"Singlet","4","4"
"HIP015.914","SeuratProject",1698,973,0.288288288288288,"Singlet","6","6"
"HIP015.916","SeuratProject",1865,970,0.045045045045045,"Singlet","0","0"
"HIP015.918","SeuratProject",1619,971,0.315315315315315,"Singlet","12","12"
"HIP015.920","SeuratProject",1780,972,0.036036036036036,"Singlet","1","1"
"HIP015.922","SeuratProject",1582,967,0.018018018018018,"Singlet","3","3"
"HIP015.923","SeuratProject",1627,974,0.351351351351351,"Singlet","7","7"
"HIP015.924","SeuratProject",1754,980,0.045045045045045,"Singlet","0","0"
"HIP015.925","SeuratProject",1756,947,0.036036036036036,"Singlet","0","0"
"HIP015.926","SeuratProject",1913,966,0.036036036036036,"Singlet","1","1"
"HIP015.927","SeuratProject",1938,976,0.198198198198198,"Singlet","4","4"
"HIP015.928","SeuratProject",1944,968,0.018018018018018,"Singlet","1","1"
"HIP015.930","SeuratProject",2038,967,0.018018018018018,"Singlet","2","2"
"HIP015.931","SeuratProject",1581,967,0.0630630630630631,"Singlet","0","0"
"HIP015.932","SeuratProject",1665,986,0.0540540540540541,"Singlet","0","0"
"HIP015.933","SeuratProject",1818,963,0.027027027027027,"Singlet","0","0"
"HIP015.934","SeuratProject",1991,976,0.0720720720720721,"Singlet","4","4"
"HIP015.935","SeuratProject",1709,985,0.36036036036036,"Singlet","6","6"
"HIP015.936","SeuratProject",2102,982,0.045045045045045,"Singlet","4","4"
"HIP015.937","SeuratProject",1703,979,0.18018018018018,"Singlet","0","0"
"HIP015.938","SeuratProject",1874,959,0.036036036036036,"Singlet","1","1"
"HIP015.939","SeuratProject",1775,987,0.0540540540540541,"Singlet","0","0"
"HIP015.940","SeuratProject",1960,978,0.0630630630630631,"Singlet","0","0"
"HIP015.942","SeuratProject",2613,970,0.00900900900900901,"Singlet","0","0"
"HIP015.943","SeuratProject",1896,986,0.144144144144144,"Singlet","3","3"
"HIP015.945","SeuratProject",1711,990,0.0990990990990991,"Singlet","3","3"
"HIP015.946","SeuratProject",1776,974,0.0900900900900901,"Singlet","0","0"
"HIP015.947","SeuratProject",1800,976,0.0810810810810811,"Singlet","1","1"
"HIP015.948","SeuratProject",1981,988,0.036036036036036,"Singlet","2","2"
"HIP015.949","SeuratProject",1911,979,0.108108108108108,"Singlet","0","0"
"HIP015.952","SeuratProject",1643,980,0.540540540540541,"Doublet","7","7"
"HIP015.953","SeuratProject",1720,996,0.0720720720720721,"Singlet","3","3"
"HIP015.954","SeuratProject",2028,987,0.045045045045045,"Singlet","0","0"
"HIP015.955","SeuratProject",1616,993,0.0720720720720721,"Singlet","5","5"
"HIP015.956","SeuratProject",1818,983,0.0990990990990991,"Singlet","0","0"
"HIP015.957","SeuratProject",1671,989,0.117117117117117,"Singlet","3","3"
"HIP015.958","SeuratProject",1805,985,0.144144144144144,"Singlet","3","3"
"HIP015.960","SeuratProject",2310,978,0.0990990990990991,"Singlet","0","0"
"HIP015.961","SeuratProject",1898,988,0.036036036036036,"Singlet","0","0"
"HIP015.962","SeuratProject",2181,994,0.0810810810810811,"Singlet","0","0"
"HIP015.963","SeuratProject",1658,990,0.0720720720720721,"Singlet","0","0"
"HIP015.965","SeuratProject",2276,984,0.0630630630630631,"Singlet","4","4"
"HIP015.966","SeuratProject",1757,997,0.018018018018018,"Singlet","0","0"
"HIP015.967","SeuratProject",1784,992,0.00900900900900901,"Singlet","0","0"
"HIP015.968","SeuratProject",1884,990,0.207207207207207,"Singlet","9","9"
"HIP015.969","SeuratProject",1987,992,0.0720720720720721,"Singlet","1","1"
"HIP015.971","SeuratProject",1972,978,0.036036036036036,"Singlet","1","1"
"HIP015.972","SeuratProject",1793,981,0.117117117117117,"Singlet","1","1"
"HIP015.973","SeuratProject",1809,991,0.0990990990990991,"Singlet","0","0"
"HIP015.974","SeuratProject",1919,984,0.018018018018018,"Singlet","0","0"
"HIP015.975","SeuratProject",2296,982,0.0540540540540541,"Singlet","4","4"
"HIP015.976","SeuratProject",1665,967,0.0630630630630631,"Singlet","0","0"
"HIP015.977","SeuratProject",1958,991,0.045045045045045,"Singlet","0","0"
"HIP015.978","SeuratProject",2056,984,0.0810810810810811,"Singlet","0","0"
"HIP015.979","SeuratProject",2079,993,0.0810810810810811,"Singlet","4","4"
"HIP015.980","SeuratProject",1796,999,0.027027027027027,"Singlet","2","2"
"HIP015.983","SeuratProject",1690,996,0.153153153153153,"Singlet","3","3"
"HIP015.984","SeuratProject",1911,1001,0.0810810810810811,"Singlet","0","0"
"HIP015.985","SeuratProject",1666,999,0.0720720720720721,"Singlet","3","3"
"HIP015.986","SeuratProject",1679,975,0.27027027027027,"Singlet","0","0"
"HIP015.987","SeuratProject",1880,1005,0.0900900900900901,"Singlet","4","4"
"HIP015.988","SeuratProject",1617,989,0.117117117117117,"Singlet","3","3"
"HIP015.989","SeuratProject",1731,995,0.045045045045045,"Singlet","0","0"
"HIP015.990","SeuratProject",2220,999,0.036036036036036,"Singlet","4","4"
"HIP015.995","SeuratProject",2185,1004,0.036036036036036,"Singlet","0","0"
"HIP015.996","SeuratProject",1750,999,0.108108108108108,"Singlet","3","3"
"HIP015.997","SeuratProject",1918,1002,0.0630630630630631,"Singlet","1","1"
"HIP015.998","SeuratProject",2195,995,0.108108108108108,"Singlet","4","4"
"HIP015.999","SeuratProject",1954,1004,0.036036036036036,"Singlet","2","2"
"HIP015.1000","SeuratProject",1992,1006,0.0630630630630631,"Singlet","4","4"
"HIP015.1001","SeuratProject",2087,1004,0.0990990990990991,"Singlet","0","0"
"HIP015.1002","SeuratProject",1597,993,0.018018018018018,"Singlet","0","0"
"HIP015.1003","SeuratProject",2085,1003,0.027027027027027,"Singlet","4","4"
"HIP015.1004","SeuratProject",1677,1001,0.135135135135135,"Singlet","0","0"
"HIP015.1006","SeuratProject",1799,1004,0.162162162162162,"Singlet","3","3"
"HIP015.1007","SeuratProject",2110,994,0.045045045045045,"Singlet","0","0"
"HIP015.1008","SeuratProject",1711,1003,0.0630630630630631,"Singlet","0","0"
"HIP015.1009","SeuratProject",1735,1011,0.162162162162162,"Singlet","3","3"
"HIP015.1010","SeuratProject",1900,1016,0.0810810810810811,"Singlet","1","1"
"HIP015.1011","SeuratProject",1901,1006,0.0990990990990991,"Singlet","1","1"
"HIP015.1012","SeuratProject",2277,1002,0.198198198198198,"Singlet","1","1"
"HIP015.1013","SeuratProject",1799,1017,0.0900900900900901,"Singlet","3","3"
"HIP015.1014","SeuratProject",1932,1013,0.0900900900900901,"Singlet","3","3"
"HIP015.1015","SeuratProject",1790,1008,0.243243243243243,"Singlet","0","0"
"HIP015.1016","SeuratProject",1854,1010,0.135135135135135,"Singlet","1","1"
"HIP015.1017","SeuratProject",1851,1010,0.0810810810810811,"Singlet","1","1"
"HIP015.1018","SeuratProject",2055,994,0.027027027027027,"Singlet","0","0"
"HIP015.1020","SeuratProject",2204,1003,0.0540540540540541,"Singlet","4","4"
"HIP015.1021","SeuratProject",2063,1010,0.045045045045045,"Singlet","4","4"
"HIP015.1023","SeuratProject",2270,1006,0.045045045045045,"Singlet","1","1"
"HIP015.1024","SeuratProject",1764,1022,0.018018018018018,"Singlet","3","3"
"HIP015.1025","SeuratProject",2495,1002,0.0540540540540541,"Singlet","4","4"
"HIP015.1026","SeuratProject",1825,1016,0.045045045045045,"Singlet","0","0"
"HIP015.1027","SeuratProject",1762,1009,0.126126126126126,"Singlet","0","0"
"HIP015.1029","SeuratProject",2066,1018,0.0990990990990991,"Singlet","0","0"
"HIP015.1030","SeuratProject",2193,1012,0.027027027027027,"Singlet","4","4"
"HIP015.1031","SeuratProject",2358,997,0.117117117117117,"Singlet","4","4"
"HIP015.1032","SeuratProject",1798,985,0.135135135135135,"Singlet","0","0"
"HIP015.1033","SeuratProject",1962,1018,0.045045045045045,"Singlet","0","0"
"HIP015.1034","SeuratProject",2012,1003,0.0990990990990991,"Singlet","0","0"
"HIP015.1036","SeuratProject",1742,1023,0.387387387387387,"Singlet","12","12"
"HIP015.1037","SeuratProject",1820,1015,0.0630630630630631,"Singlet","0","0"
"HIP015.1038","SeuratProject",2039,1017,0.00900900900900901,"Singlet","2","2"
"HIP015.1039","SeuratProject",2283,1004,0.0540540540540541,"Singlet","1","1"
"HIP015.1040","SeuratProject",1697,1020,0.018018018018018,"Singlet","2","2"
"HIP015.1041","SeuratProject",1869,1022,0.0720720720720721,"Singlet","2","2"
"HIP015.1042","SeuratProject",1916,1009,0.018018018018018,"Singlet","0","0"
"HIP015.1043","SeuratProject",1952,1021,0.0630630630630631,"Singlet","2","2"
"HIP015.1044","SeuratProject",1649,1026,0.0900900900900901,"Singlet","2","2"
"HIP015.1045","SeuratProject",2161,1018,0.027027027027027,"Singlet","0","0"
"HIP015.1046","SeuratProject",1742,1027,0.027027027027027,"Singlet","0","0"
"HIP015.1047","SeuratProject",1851,1038,0.117117117117117,"Singlet","1","1"
"HIP015.1048","SeuratProject",2030,1025,0.027027027027027,"Singlet","0","0"
"HIP015.1050","SeuratProject",1788,1027,0.00900900900900901,"Singlet","0","0"
"HIP015.1051","SeuratProject",2066,1034,0.045045045045045,"Singlet","4","4"
"HIP015.1052","SeuratProject",2110,1011,0.036036036036036,"Singlet","0","0"
"HIP015.1053","SeuratProject",1839,1030,0.036036036036036,"Singlet","2","2"
"HIP015.1054","SeuratProject",2178,1025,0.027027027027027,"Singlet","0","0"
"HIP015.1055","SeuratProject",1773,1001,0.018018018018018,"Singlet","0","0"
"HIP015.1056","SeuratProject",2037,1023,0.00900900900900901,"Singlet","0","0"
"HIP015.1057","SeuratProject",1767,1025,0.18018018018018,"Singlet","7","7"
"HIP015.1058","SeuratProject",1867,1036,0.432432432432432,"Singlet","0","0"
"HIP015.1059","SeuratProject",1851,1040,0.0900900900900901,"Singlet","8","8"
"HIP015.1060","SeuratProject",1690,1024,0.027027027027027,"Singlet","0","0"
"HIP015.1061","SeuratProject",1891,1033,0.045045045045045,"Singlet","4","4"
"HIP015.1062","SeuratProject",2327,1019,0.117117117117117,"Singlet","4","4"
"HIP015.1063","SeuratProject",2619,1034,0.027027027027027,"Singlet","2","2"
"HIP015.1064","SeuratProject",2804,1012,0.252252252252252,"Singlet","13","13"
"HIP015.1065","SeuratProject",1947,1040,0.0720720720720721,"Singlet","0","0"
"HIP015.1066","SeuratProject",2043,1040,0.135135135135135,"Singlet","4","4"
"HIP015.1067","SeuratProject",2116,1023,0.0990990990990991,"Singlet","4","4"
"HIP015.1068","SeuratProject",2404,1034,0.0540540540540541,"Singlet","4","4"
"HIP015.1069","SeuratProject",2238,1033,0.27027027027027,"Singlet","1","1"
"HIP015.1070","SeuratProject",2299,1040,0.027027027027027,"Singlet","0","0"
"HIP015.1071","SeuratProject",1700,1036,0.225225225225225,"Singlet","3","3"
"HIP015.1072","SeuratProject",2241,1020,0.00900900900900901,"Singlet","1","1"
"HIP015.1073","SeuratProject",2831,1033,0.0540540540540541,"Singlet","4","4"
"HIP015.1074","SeuratProject",2517,1031,0.018018018018018,"Singlet","2","2"
"HIP015.1075","SeuratProject",1846,1050,0.144144144144144,"Singlet","1","1"
"HIP015.1076","SeuratProject",1885,1038,0,"Singlet","0","0"
"HIP015.1078","SeuratProject",2377,1036,0.0630630630630631,"Singlet","4","4"
"HIP015.1079","SeuratProject",1864,1049,0.0720720720720721,"Singlet","3","3"
"HIP015.1081","SeuratProject",1613,1045,0.0810810810810811,"Singlet","0","0"
"HIP015.1082","SeuratProject",2167,1045,0.036036036036036,"Singlet","1","1"
"HIP015.1083","SeuratProject",1736,1044,0.0540540540540541,"Singlet","0","0"
"HIP015.1084","SeuratProject",2009,1036,0.171171171171171,"Singlet","0","0"
"HIP015.1085","SeuratProject",2018,1017,0.0720720720720721,"Singlet","4","4"
"HIP015.1086","SeuratProject",2274,1035,0.135135135135135,"Singlet","4","4"
"HIP015.1087","SeuratProject",2344,1041,0.0630630630630631,"Singlet","2","2"
"HIP015.1088","SeuratProject",2764,1023,0.0900900900900901,"Singlet","4","4"
"HIP015.1089","SeuratProject",2067,1053,0.18018018018018,"Singlet","2","2"
"HIP015.1090","SeuratProject",1720,1020,0.225225225225225,"Singlet","13","13"
"HIP015.1091","SeuratProject",2071,1048,0.045045045045045,"Singlet","0","0"
"HIP015.1092","SeuratProject",2230,1050,0.0810810810810811,"Singlet","4","4"
"HIP015.1093","SeuratProject",1780,1047,0.288288288288288,"Singlet","0","0"
"HIP015.1095","SeuratProject",2126,1045,0.018018018018018,"Singlet","2","2"
"HIP015.1096","SeuratProject",2217,1018,0.162162162162162,"Singlet","5","5"
"HIP015.1098","SeuratProject",1956,1047,0.0720720720720721,"Singlet","5","5"
"HIP015.1099","SeuratProject",2129,1050,0.00900900900900901,"Singlet","0","0"
"HIP015.1100","SeuratProject",1966,1051,0.0900900900900901,"Singlet","3","3"
"HIP015.1101","SeuratProject",2107,1047,0.144144144144144,"Singlet","0","0"
"HIP015.1102","SeuratProject",2190,1047,0.0720720720720721,"Singlet","4","4"
"HIP015.1103","SeuratProject",2360,1048,0.0630630630630631,"Singlet","4","4"
"HIP015.1105","SeuratProject",1845,1045,0.036036036036036,"Singlet","8","8"
"HIP015.1106","SeuratProject",2354,1040,0.045045045045045,"Singlet","0","0"
"HIP015.1107","SeuratProject",1767,1046,0.00900900900900901,"Singlet","0","0"
"HIP015.1108","SeuratProject",2243,1052,0.108108108108108,"Singlet","4","4"
"HIP015.1109","SeuratProject",2441,1035,0.0810810810810811,"Singlet","4","4"
"HIP015.1110","SeuratProject",1817,1059,0.0720720720720721,"Singlet","3","3"
"HIP015.1111","SeuratProject",1908,1048,0.018018018018018,"Singlet","0","0"
"HIP015.1112","SeuratProject",2056,1054,0.0990990990990991,"Singlet","3","3"
"HIP015.1113","SeuratProject",2129,1048,0.00900900900900901,"Singlet","0","0"
"HIP015.1114","SeuratProject",1974,1053,0,"Singlet","1","1"
"HIP015.1115","SeuratProject",2072,1061,0.018018018018018,"Singlet","0","0"
"HIP015.1116","SeuratProject",1928,1061,0.162162162162162,"Singlet","0","0"
"HIP015.1117","SeuratProject",2107,1059,0.045045045045045,"Singlet","1","1"
"HIP015.1118","SeuratProject",2270,1051,0.135135135135135,"Singlet","4","4"
"HIP015.1119","SeuratProject",2135,1063,0.045045045045045,"Singlet","2","2"
"HIP015.1121","SeuratProject",2150,1051,0.0540540540540541,"Singlet","1","1"
"HIP015.1122","SeuratProject",2215,1049,0,"Singlet","1","1"
"HIP015.1124","SeuratProject",2165,1056,0.108108108108108,"Singlet","4","4"
"HIP015.1125","SeuratProject",2234,1061,0.036036036036036,"Singlet","2","2"
"HIP015.1126","SeuratProject",1815,1068,0.0720720720720721,"Singlet","3","3"
"HIP015.1127","SeuratProject",1804,1060,0.135135135135135,"Singlet","3","3"
"HIP015.1128","SeuratProject",2545,1060,0.144144144144144,"Singlet","2","2"
"HIP015.1129","SeuratProject",2411,1056,0.00900900900900901,"Singlet","1","1"
"HIP015.1130","SeuratProject",1906,1046,0.0540540540540541,"Singlet","1","1"
"HIP015.1131","SeuratProject",2200,1064,0.0720720720720721,"Singlet","0","0"
"HIP015.1133","SeuratProject",2748,1051,0.018018018018018,"Singlet","1","1"
"HIP015.1134","SeuratProject",1906,1056,0.0900900900900901,"Singlet","0","0"
"HIP015.1135","SeuratProject",2414,1061,0.027027027027027,"Singlet","0","0"
"HIP015.1136","SeuratProject",2479,1045,0.018018018018018,"Singlet","1","1"
"HIP015.1137","SeuratProject",2851,1023,0.0630630630630631,"Singlet","8","8"
"HIP015.1138","SeuratProject",1940,1063,0.126126126126126,"Singlet","0","0"
"HIP015.1140","SeuratProject",2024,1068,0.108108108108108,"Singlet","0","0"
"HIP015.1141","SeuratProject",2089,1039,0.0990990990990991,"Singlet","0","0"
"HIP015.1142","SeuratProject",2123,1063,0.045045045045045,"Singlet","1","1"
"HIP015.1144","SeuratProject",2117,1054,0.108108108108108,"Singlet","4","4"
"HIP015.1145","SeuratProject",2998,1059,0.027027027027027,"Singlet","0","0"
"HIP015.1148","SeuratProject",3387,1058,0.018018018018018,"Singlet","0","0"
"HIP015.1149","SeuratProject",1852,1071,0.171171171171171,"Singlet","3","3"
"HIP015.1150","SeuratProject",1889,1026,0.0720720720720721,"Singlet","1","1"
"HIP015.1151","SeuratProject",2097,1063,0.018018018018018,"Singlet","0","0"
"HIP015.1152","SeuratProject",2170,1066,0.0810810810810811,"Singlet","0","0"
"HIP015.1153","SeuratProject",2419,1061,0.0990990990990991,"Singlet","4","4"
"HIP015.1154","SeuratProject",2422,1062,0.045045045045045,"Singlet","4","4"
"HIP015.1155","SeuratProject",1897,1058,0.162162162162162,"Singlet","0","0"
"HIP015.1156","SeuratProject",1926,1061,0.018018018018018,"Singlet","0","0"
"HIP015.1158","SeuratProject",2103,1071,0.036036036036036,"Singlet","0","0"
"HIP015.1160","SeuratProject",1988,1060,0.018018018018018,"Singlet","0","0"
"HIP015.1161","SeuratProject",2341,1068,0.0810810810810811,"Singlet","4","4"
"HIP015.1162","SeuratProject",1986,1076,0.126126126126126,"Singlet","2","2"
"HIP015.1163","SeuratProject",2012,1064,0.0810810810810811,"Singlet","0","0"
"HIP015.1164","SeuratProject",2149,1062,0.0900900900900901,"Singlet","1","1"
"HIP015.1165","SeuratProject",2022,1060,0.108108108108108,"Singlet","1","1"
"HIP015.1166","SeuratProject",1998,1075,0.045045045045045,"Singlet","2","2"
"HIP015.1167","SeuratProject",2089,1065,0.0810810810810811,"Singlet","3","3"
"HIP015.1168","SeuratProject",2332,1071,0.171171171171171,"Singlet","6","6"
"HIP015.1169","SeuratProject",1952,1070,0.108108108108108,"Singlet","0","0"
"HIP015.1171","SeuratProject",1860,1088,0.0540540540540541,"Singlet","1","1"
"HIP015.1172","SeuratProject",1885,1074,0.018018018018018,"Singlet","2","2"
"HIP015.1173","SeuratProject",2015,1075,0.0810810810810811,"Singlet","0","0"
"HIP015.1175","SeuratProject",1992,1070,0.117117117117117,"Singlet","0","0"
"HIP015.1178","SeuratProject",1816,1078,0.0720720720720721,"Singlet","2","2"
"HIP015.1179","SeuratProject",2222,1062,0.027027027027027,"Singlet","0","0"
"HIP015.1180","SeuratProject",2328,1083,0.117117117117117,"Singlet","2","2"
"HIP015.1181","SeuratProject",1924,1076,0.018018018018018,"Singlet","0","0"
"HIP015.1184","SeuratProject",2624,1081,0.0540540540540541,"Singlet","4","4"
"HIP015.1185","SeuratProject",2285,1078,0.126126126126126,"Singlet","2","2"
"HIP015.1186","SeuratProject",2338,1090,0.018018018018018,"Singlet","0","0"
"HIP015.1187","SeuratProject",2011,1097,0.18018018018018,"Singlet","3","3"
"HIP015.1188","SeuratProject",2014,1072,0.027027027027027,"Singlet","0","0"
"HIP015.1189","SeuratProject",1891,1095,0.126126126126126,"Singlet","3","3"
"HIP015.1190","SeuratProject",2341,1085,0.0720720720720721,"Singlet","3","3"
"HIP015.1191","SeuratProject",2083,1086,0.036036036036036,"Singlet","0","0"
"HIP015.1192","SeuratProject",2126,1092,0.144144144144144,"Singlet","3","3"
"HIP015.1195","SeuratProject",3608,1083,0.117117117117117,"Singlet","3","3"
"HIP015.1196","SeuratProject",1899,1089,0.0630630630630631,"Singlet","0","0"
"HIP015.1197","SeuratProject",1978,1093,0.171171171171171,"Singlet","0","0"
"HIP015.1198","SeuratProject",2025,1080,0.0720720720720721,"Singlet","4","4"
"HIP015.1199","SeuratProject",2198,1088,0.540540540540541,"Doublet","6","6"
"HIP015.1200","SeuratProject",2087,1099,0.027027027027027,"Singlet","0","0"
"HIP015.1202","SeuratProject",2115,1100,0.027027027027027,"Singlet","0","0"
"HIP015.1203","SeuratProject",1922,1081,0.018018018018018,"Singlet","0","0"
"HIP015.1204","SeuratProject",2136,1089,0.0630630630630631,"Singlet","4","4"
"HIP015.1205","SeuratProject",2167,1098,0.108108108108108,"Singlet","0","0"
"HIP015.1206","SeuratProject",2778,1098,0.0720720720720721,"Singlet","0","0"
"HIP015.1207","SeuratProject",1953,1096,0.207207207207207,"Singlet","0","0"
"HIP015.1208","SeuratProject",2405,1093,0.0540540540540541,"Singlet","0","0"
"HIP015.1209","SeuratProject",1944,1089,0.126126126126126,"Singlet","2","2"
"HIP015.1210","SeuratProject",1997,1095,0.126126126126126,"Singlet","0","0"
"HIP015.1211","SeuratProject",2145,1100,0.108108108108108,"Singlet","0","0"
"HIP015.1212","SeuratProject",1975,1097,0.045045045045045,"Singlet","0","0"
"HIP015.1213","SeuratProject",2051,1107,0.144144144144144,"Singlet","3","3"
"HIP015.1214","SeuratProject",2324,1100,0.0540540540540541,"Singlet","1","1"
"HIP015.1215","SeuratProject",2101,1097,0.0720720720720721,"Singlet","2","2"
"HIP015.1216","SeuratProject",1932,1100,0.0720720720720721,"Singlet","0","0"
"HIP015.1218","SeuratProject",2439,1096,0.0990990990990991,"Singlet","1","1"
"HIP015.1219","SeuratProject",1899,1107,0.108108108108108,"Singlet","0","0"
"HIP015.1220","SeuratProject",1933,1107,0.0630630630630631,"Singlet","0","0"
"HIP015.1221","SeuratProject",1925,1103,0.0990990990990991,"Singlet","0","0"
"HIP015.1222","SeuratProject",2236,1104,0.0990990990990991,"Singlet","4","4"
"HIP015.1223","SeuratProject",2415,1083,0.0630630630630631,"Singlet","0","0"
"HIP015.1224","SeuratProject",1980,1106,0.0720720720720721,"Singlet","1","1"
"HIP015.1225","SeuratProject",2043,1106,0.135135135135135,"Singlet","8","8"
"HIP015.1226","SeuratProject",2401,1092,0.0900900900900901,"Singlet","0","0"
"HIP015.1227","SeuratProject",2449,1104,0.027027027027027,"Singlet","0","0"
"HIP015.1228","SeuratProject",3671,1105,0.36036036036036,"Singlet","9","9"
"HIP015.1229","SeuratProject",2259,1107,0.0810810810810811,"Singlet","0","0"
"HIP015.1230","SeuratProject",1832,1107,0.0720720720720721,"Singlet","0","0"
"HIP015.1231","SeuratProject",2227,1114,0.225225225225225,"Singlet","3","3"
"HIP015.1232","SeuratProject",2243,1097,0,"Singlet","1","1"
"HIP015.1233","SeuratProject",2577,1103,0.0900900900900901,"Singlet","4","4"
"HIP015.1234","SeuratProject",1993,1113,0.0810810810810811,"Singlet","0","0"
"HIP015.1235","SeuratProject",2899,1098,0.045045045045045,"Singlet","4","4"
"HIP015.1236","SeuratProject",1913,1096,0.117117117117117,"Singlet","0","0"
"HIP015.1237","SeuratProject",1946,1111,0.045045045045045,"Singlet","0","0"
"HIP015.1238","SeuratProject",2074,1109,0.108108108108108,"Singlet","3","3"
"HIP015.1239","SeuratProject",3283,1113,0.225225225225225,"Singlet","9","9"
"HIP015.1240","SeuratProject",2474,1115,0.0720720720720721,"Singlet","4","4"
"HIP015.1241","SeuratProject",2180,1120,0.324324324324324,"Singlet","11","11"
"HIP015.1242","SeuratProject",2531,1118,0.441441441441441,"Singlet","6","6"
"HIP015.1243","SeuratProject",2337,1102,0.108108108108108,"Singlet","2","2"
"HIP015.1244","SeuratProject",2722,1113,0.0720720720720721,"Singlet","1","1"
"HIP015.1245","SeuratProject",2040,1119,0.0630630630630631,"Singlet","3","3"
"HIP015.1246","SeuratProject",2423,1094,0.045045045045045,"Singlet","0","0"
"HIP015.1247","SeuratProject",2491,1125,0.027027027027027,"Singlet","1","1"
"HIP015.1248","SeuratProject",2111,1128,0.0720720720720721,"Singlet","3","3"
"HIP015.1249","SeuratProject",2452,1103,0.027027027027027,"Singlet","4","4"
"HIP015.1250","SeuratProject",2185,1112,0.234234234234234,"Singlet","0","0"
"HIP015.1251","SeuratProject",2044,1107,0.045045045045045,"Singlet","0","0"
"HIP015.1252","SeuratProject",2101,1117,0.126126126126126,"Singlet","0","0"
"HIP015.1254","SeuratProject",2413,1115,0.036036036036036,"Singlet","2","2"
"HIP015.1255","SeuratProject",2642,1104,0.0810810810810811,"Singlet","0","0"
"HIP015.1256","SeuratProject",2859,1109,0.0720720720720721,"Singlet","4","4"
"HIP015.1257","SeuratProject",1593,974,0.108108108108108,"Singlet","4","4"
"HIP015.1258","SeuratProject",1862,1124,0.261261261261261,"Singlet","12","12"
"HIP015.1259","SeuratProject",2263,1106,0.0810810810810811,"Singlet","0","0"
"HIP015.1260","SeuratProject",2492,1120,0.0990990990990991,"Singlet","0","0"
"HIP015.1261","SeuratProject",2228,1117,0.0540540540540541,"Singlet","0","0"
"HIP015.1262","SeuratProject",2094,1113,0.0990990990990991,"Singlet","0","0"
"HIP015.1263","SeuratProject",2298,1123,0.108108108108108,"Singlet","2","2"
"HIP015.1264","SeuratProject",3183,1057,0.0810810810810811,"Singlet","4","4"
"HIP015.1265","SeuratProject",1920,1136,0.144144144144144,"Singlet","1","1"
"HIP015.1266","SeuratProject",2169,1128,0.00900900900900901,"Singlet","0","0"
"HIP015.1267","SeuratProject",2582,1136,0.126126126126126,"Singlet","4","4"
"HIP015.1268","SeuratProject",3356,1105,0.027027027027027,"Singlet","0","0"
"HIP015.1269","SeuratProject",2279,1129,0.045045045045045,"Singlet","1","1"
"HIP015.1271","SeuratProject",2080,1123,0.216216216216216,"Singlet","0","0"
