"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP002.111","SeuratProject",1001,565,0.153153153153153,"Singlet","2","2"
"HIP002.112","SeuratProject",1048,568,0,"Singlet","2","2"
"HIP002.113","SeuratProject",1083,572,0.153153153153153,"Singlet","5","5"
"HIP002.114","SeuratProject",1005,573,0.018018018018018,"Singlet","2","2"
"HIP002.115","SeuratProject",1173,561,0.144144144144144,"Singlet","3","3"
"HIP002.117","SeuratProject",1063,582,0.0990990990990991,"Singlet","7","7"
"HIP002.118","SeuratProject",1046,580,0.0810810810810811,"Singlet","3","3"
"HIP002.119","SeuratProject",1149,575,0.0810810810810811,"Singlet","4","4"
"HIP002.120","SeuratProject",1277,577,0.162162162162162,"Singlet","5","5"
"HIP002.121","SeuratProject",1053,577,0.153153153153153,"Singlet","3","3"
"HIP002.122","SeuratProject",1003,576,0.018018018018018,"Singlet","2","2"
"HIP002.123","SeuratProject",1162,573,0.243243243243243,"Singlet","7","7"
"HIP002.124","SeuratProject",1204,551,0,"Singlet","0","0"
"HIP002.125","SeuratProject",1219,571,0,"Singlet","2","2"
"HIP002.126","SeuratProject",1059,571,0.00900900900900901,"Singlet","1","1"
"HIP002.128","SeuratProject",1117,566,0.00900900900900901,"Singlet","1","1"
"HIP002.129","SeuratProject",1201,575,0.189189189189189,"Singlet","3","3"
"HIP002.130","SeuratProject",1207,577,0.135135135135135,"Singlet","3","3"
"HIP002.131","SeuratProject",1386,582,0.117117117117117,"Singlet","5","5"
"HIP002.132","SeuratProject",1034,581,0.00900900900900901,"Singlet","2","2"
"HIP002.134","SeuratProject",999,561,0.108108108108108,"Singlet","7","7"
"HIP002.135","SeuratProject",1043,584,0.153153153153153,"Singlet","3","3"
"HIP002.136","SeuratProject",1110,581,0.0900900900900901,"Singlet","3","3"
"HIP002.137","SeuratProject",1081,590,0.189189189189189,"Singlet","2","2"
"HIP002.139","SeuratProject",1107,584,0.0720720720720721,"Singlet","3","3"
"HIP002.140","SeuratProject",1193,587,0.018018018018018,"Singlet","2","2"
"HIP002.141","SeuratProject",1286,580,0.171171171171171,"Singlet","2","2"
"HIP002.144","SeuratProject",1275,590,0.00900900900900901,"Singlet","2","2"
"HIP002.146","SeuratProject",1147,587,0.225225225225225,"Singlet","13","13"
"HIP002.147","SeuratProject",1200,578,0.117117117117117,"Singlet","5","5"
"HIP002.148","SeuratProject",1281,582,0.198198198198198,"Singlet","2","2"
"HIP002.149","SeuratProject",1208,594,0.00900900900900901,"Singlet","2","2"
"HIP002.150","SeuratProject",1035,594,0.198198198198198,"Singlet","3","3"
"HIP002.151","SeuratProject",1149,570,0.0810810810810811,"Singlet","7","7"
"HIP002.152","SeuratProject",1013,596,0.135135135135135,"Singlet","7","7"
