"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ACTB",5.62757299430796e-24,-0.467268645999152,0.906,0.973,1.34617173596841e-19,"0","ACTB"
"COTL1",3.13014448152579e-23,-0.508423969707776,0.793,0.907,7.48761861425783e-19,"0","COTL1"
"LST1",4.66256527118804e-23,-0.568074915769904,0.53,0.744,1.11533223852089e-18,"0","LST1"
"PSAP",7.45247801288999e-23,-0.359922204551999,0.997,0.999,1.78270726546341e-18,"0","PSAP"
"RNA18S5",3.44159850204641e-22,0.411786463133856,1,1,8.23264777674521e-18,"0","RNA18S5"
"TMSB4X",1.44181670050672e-19,-0.381407702840503,0.95,0.982,3.44896972928212e-15,"0","TMSB4X"
"AHNAK",6.07004048710839e-18,0.379964707685982,0.994,0.971,1.4520143849212e-13,"0","AHNAK"
"RPS19",1.59129554734805e-17,-0.501659800978077,0.611,0.799,3.80653807881128e-13,"0","RPS19"
"MYL6",4.90683396656657e-17,-0.411761389629055,0.749,0.857,1.17376375314239e-12,"0","MYL6"
"HLA-DQB1",2.3089745798151e-15,0.278976104526503,0.621,0.391,5.5232980923757e-11,"0","HLA-DQB1"
"CSF1R",3.30885421055347e-15,-0.497652405030684,0.395,0.593,7.91511015706495e-11,"0","CSF1R"
"NAP1L1",1.07754014069604e-14,-0.556520265469113,0.48,0.638,2.57758377055899e-10,"0","NAP1L1"
"LYN",2.42524357279074e-14,-0.48130600172451,0.571,0.721,5.80142515047274e-10,"0","LYN"
"RNA28S5",3.02677600915419e-14,0.42189755605613,1,1,7.24035089149775e-10,"0","RNA28S5"
"MT-CO2",7.20078967720562e-14,-0.288795269219228,0.962,0.984,1.72250089868436e-09,"0","MT-CO2"
"AIF1",8.12781307499115e-14,-0.402385824761554,0.752,0.851,1.94425416566863e-09,"0","AIF1"
"OAZ1",9.95430706215462e-14,-0.314033393398283,0.868,0.936,2.38116979233801e-09,"0","OAZ1"
"FCER1G",2.44275341293136e-13,-0.367138543351234,0.426,0.613,5.8433104390731e-09,"0","FCER1G"
"PTP4A2",5.91405852207586e-12,-0.37231497799096,0.649,0.78,1.41470193906577e-07,"0","PTP4A2"
