"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CYBB",2.79464549022684e-21,-0.497617019089042,0.858,0.931,7.36696497678697e-17
"TRAF5",2.8053271489533e-21,0.310614216675952,0.108,0.016,7.39512289735579e-17
"KLF12",3.16295302007368e-21,0.368173267769195,0.167,0.04,8.33786045621623e-17
"PRR5L",3.20157791613119e-21,0.363571939111471,0.11,0.017,8.43967954471344e-17
"CST3",3.2352528154802e-21,-0.555142657350325,0.806,0.866,8.52844994688735e-17
"LLGL2",4.61863147413912e-21,0.311224073658654,0.104,0.014,1.21751744289781e-16
"LDLRAP1",4.845991719454e-21,0.485572406392726,0.176,0.045,1.27745187716527e-16
"MNDA",1.03355155308226e-20,-0.586263544441824,0.779,0.871,2.72454524908015e-16
"TKT",1.03438309647929e-20,-0.494399456857813,0.815,0.905,2.72673728062907e-16
"RPS5",1.93535474843538e-20,0.566846955302045,0.84,0.697,5.1017886523505e-16
"SEL1L3",2.45042131826464e-20,0.452888412873936,0.11,0.018,6.45955563707741e-16
"RASA3",3.22564138048232e-20,0.499098155365026,0.36,0.161,8.50311324308944e-16
"C12orf57",3.28783667361748e-20,0.486343401528445,0.155,0.038,8.66706625532305e-16
"VIM",4.78734023808198e-20,-0.477130124214676,0.892,0.951,1.26199076016079e-15
"CTSB",7.36233358066245e-20,-0.566575524016726,0.77,0.86,1.94078475519843e-15
"MLLT6",7.55150552045865e-20,0.528914144881372,0.365,0.165,1.99065237024811e-15
"OXNAD1",8.53285890659263e-20,0.387301540511568,0.122,0.023,2.24934693636688e-15
"CHD3",2.09214181813507e-19,0.610849941560115,0.547,0.317,5.51509504678585e-15
"ADD3",2.1895352470842e-19,0.591975903061344,0.622,0.398,5.77183386483867e-15
"FOS",2.22641091251705e-19,-0.40331995127372,0.971,0.987,5.86904180648619e-15
"JAK1",2.66981526923552e-19,0.606269436634968,0.775,0.586,7.03790003123177e-15
"TTN",2.86242385851505e-19,0.685546206688714,0.158,0.041,7.54563553343154e-15
"ARID5B",4.20214877933118e-19,0.45054153089923,0.149,0.036,1.10772843971949e-14
"RPSAP58",4.89812318847019e-19,0.570094678189553,0.736,0.541,1.29119425371263e-14
