"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP002.120","SeuratProject",1277,577,"H1","CD16 Monocyte","5","0",0.0313344605172118,-0.0469956207025536,"S","5",1590,577,"0"
"HIP002.121","SeuratProject",1053,577,"H1","CD14 Monocyte","3","14",0.0717479065277442,-0.0640116424058738,"S","3",1496,582,"14"
"HIP002.123","SeuratProject",1162,573,"H1","CD14 Monocyte","7","14",0.0774069969540877,-0.0441877916570052,"S","7",1552,573,"14"
"HIP002.129","SeuratProject",1201,575,"H1","CD14 Monocyte","3","5",-0.0504343887514772,-0.0470693210995659,"G1","3",1571,577,"5"
"HIP002.130","SeuratProject",1207,577,"H1","CD14 Monocyte","3","14",-0.0447415400959455,-0.0785994293528726,"G1","3",1580,578,"14"
"HIP002.131","SeuratProject",1386,582,"H1","CD14 Monocyte","5","6",0.0250198720668744,0.0392109163384213,"G2M","5",1634,581,"6"
"HIP002.134","SeuratProject",999,561,"H1","CD14 Monocyte","7","5",-0.0446349802791147,-0.101921216495825,"G1","7",1485,567,"5"
"HIP002.135","SeuratProject",1043,584,"H1","CD14 Monocyte","3","6",-0.0469095722714965,-0.0416536022008994,"G1","3",1481,591,"6"
"HIP002.136","SeuratProject",1110,581,"H1","CD14 Monocyte","3","5",-0.0526277506323917,-0.0715612926070392,"G1","3",1497,583,"5"
"HIP002.137","SeuratProject",1081,590,"H1","DC","2","6",0.0667432170000443,-0.0436007713413961,"S","2",1491,592,"6"
"HIP002.139","SeuratProject",1107,584,"H1","CD14 Monocyte","3","15",-0.0363574369208338,-0.0156975706934239,"G1","3",1506,588,"15"
"HIP002.141","SeuratProject",1286,580,"H1","CD14 Monocyte","2","5",-0.0379101702291197,-0.0381647306774211,"G1","2",1608,580,"5"
"HIP002.147","SeuratProject",1200,578,"H1","CD14 Monocyte","5","7",-0.0422076920294915,-0.0336047671078969,"G1","5",1558,578,"7"
