"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP002.1645","SeuratProject",2434,1367,"H1","CD14 Monocyte","7","10",-0.0163651878597647,-0.152401304811652,"G1","7",2210,1366,"10"
"HIP002.1648","SeuratProject",2681,1409,"H1","CD14 Monocyte","3","14",-0.0323868968305685,-0.144034593756407,"G1","3",2289,1404,"14"
"HIP002.1649","SeuratProject",3096,1401,"H1","CD14 Monocyte","3","5",-0.0495055322128067,-0.00786877538222487,"G1","3",2278,1382,"5"
"HIP002.1650","SeuratProject",3410,1403,"H1","CD14 Monocyte","3","12",0.0639594020687081,-0.0130169585148989,"S","3",2378,1366,"12"
"HIP002.1651","SeuratProject",2974,1408,"H1","CD16 Monocyte","5","8",-0.0565274847134503,0.0113862045855473,"G2M","5",2271,1401,"8"
"HIP002.1652","SeuratProject",3307,1417,"H1","DC","2","6",0.0488516879692339,0.0261301245150301,"S","2",2315,1398,"6"
"HIP002.1653","SeuratProject",3264,1386,"H1","DC","11","6",-0.0743707914429148,-0.0740715109291242,"G1","11",2342,1358,"6"
"HIP002.1654","SeuratProject",3040,1416,"H1","CD14 Monocyte","3","11",-0.0196034308481748,-0.0213805424820739,"G1","3",2280,1397,"11"
"HIP002.1655","SeuratProject",2479,1417,"H1","CD14 Monocyte","7","10",-0.0237293807138895,-0.0180384910017757,"G1","7",2227,1417,"10"
"HIP002.1656","SeuratProject",2733,1413,"H1","CD14 Monocyte","3","11",-0.0292312033369755,-0.117370727109289,"G1","3",2310,1408,"11"
"HIP002.1658","SeuratProject",3232,1425,"H1","CD14 Monocyte","3","9",-0.0114967518731526,-0.0663433502024881,"G1","3",2305,1396,"9"
"HIP002.1660","SeuratProject",3194,1418,"H1","CD14 Monocyte","3","14",-0.0308006484969558,-0.0324305616854863,"G1","3",2300,1392,"14"
"HIP002.1661","SeuratProject",2563,1432,"H1","CD14 Monocyte","3","7",-0.0960072364661605,-0.059027713734678,"G1","3",2252,1430,"7"
"HIP002.1662","SeuratProject",2688,1423,"H1","CD14 Monocyte","3","5",0.0464600019979489,-0.0158406460469309,"S","3",2290,1422,"5"
"HIP002.1663","SeuratProject",2597,1431,"H1","CD14 Monocyte","7","14",-0.0104512519040886,-0.00446150876465187,"G1","7",2275,1430,"14"
"HIP002.1664","SeuratProject",2738,1427,"H1","CD16 Monocyte","5","7",-0.0528970373165672,-0.0739643914007491,"G1","5",2305,1423,"7"
"HIP002.1667","SeuratProject",2679,1406,"H1","CD14 Monocyte","3","5",-0.0533277085884993,-0.106387858338962,"G1","3",2287,1398,"5"
"HIP002.1668","SeuratProject",2828,1423,"H1","CD14 Monocyte","3","10",-0.0905401789338809,-0.0496671406713591,"G1","3",2284,1418,"10"
"HIP002.1669","SeuratProject",3004,1411,"H1","CD14 Monocyte","3","6",-0.0676614515861204,-0.095240377968845,"G1","3",2287,1402,"6"
"HIP002.1671","SeuratProject",3861,1425,"H1","CD16 Monocyte","5","7",-0.00328509272828643,0.000373542365448384,"G2M","5",2387,1314,"7"
"HIP002.1673","SeuratProject",2904,1412,"H1","CD14 Monocyte","3","10",-0.0262854772873057,-0.103813370911977,"G1","3",2276,1405,"10"
"HIP002.1674","SeuratProject",3056,1435,"H1","CD14 Monocyte","3","9",-0.0134458942693401,-0.0177559708417065,"G1","3",2273,1422,"9"
"HIP002.1676","SeuratProject",3426,1419,"H1","CD14 Monocyte","3","18",-0.02520021407517,-0.0650907114942577,"G1","3",2364,1378,"18"
"HIP002.1677","SeuratProject",2775,1421,"H1","CD14 Monocyte","7","14",-0.0393929184603694,-0.122115075520339,"G1","7",2297,1414,"14"
"HIP002.1679","SeuratProject",2808,1440,"H1","CD14 Monocyte","3","2",0.0330177921715354,-0.0163102143418465,"S","3",2297,1437,"2"
"HIP002.1682","SeuratProject",3080,1437,"H1","CD14 Monocyte","3","12",0.0275188168576108,-0.0288131222567246,"S","3",2273,1423,"12"
"HIP002.1683","SeuratProject",3036,1449,"H1","CD14 Monocyte","3","10",-0.0649593898135383,-0.130613346914002,"G1","3",2260,1431,"10"
"HIP002.1684","SeuratProject",2722,1441,"H1","CD14 Monocyte","3","12",-0.079592139980707,-0.115197258757189,"G1","3",2311,1440,"12"
"HIP002.1686","SeuratProject",3187,1456,"H1","CD16 Monocyte","5","4",0.00371844011033498,-0.100106308110452,"S","5",2302,1432,"4"
"HIP002.1687","SeuratProject",3219,1442,"H1","CD14 Monocyte","3","5",-0.012403124188109,-0.0555513572900711,"G1","3",2318,1420,"5"
"HIP002.1691","SeuratProject",2918,1459,"H1","CD16 Monocyte","5","7",-0.0276485259183189,-0.107578469228823,"G1","5",2271,1448,"7"
"HIP002.1692","SeuratProject",3057,1460,"H1","CD14 Monocyte","3","5",-0.0761876979555718,-0.0560068063579529,"G1","3",2278,1449,"5"
"HIP002.1693","SeuratProject",2718,1466,"H1","CD14 Monocyte","3","13",-0.050927766676857,0.0508304547524703,"G2M","3",2321,1459,"13"
"HIP002.1696","SeuratProject",2838,1378,"H1","CD16 Monocyte","10","20",-0.00850527313418983,-0.0775681769872238,"G1","10",2294,1371,"20"
"HIP002.1699","SeuratProject",3255,1461,"H1","CD14 Monocyte","3","0",-0.0806091115054969,-0.0917717154394102,"G1","3",2334,1433,"0"
"HIP002.1700","SeuratProject",3312,1463,"H1","CD16 Monocyte","5","7",-0.0450085028543105,-0.0946337482123654,"G1","5",2322,1429,"7"
"HIP002.1702","SeuratProject",2650,1468,"H1","CD14 Monocyte","7","15",-0.0627568173596977,0.0422047131955807,"G2M","7",2300,1465,"15"
"HIP002.1704","SeuratProject",3641,1464,"H1","CD14 Monocyte","3","17",-0.043858029122298,-0.0427380130395376,"G1","3",2390,1389,"17"
"HIP002.1705","SeuratProject",2774,1486,"H1","CD14 Monocyte","3","11",0.0135380433838205,-0.0549004431684475,"S","3",2324,1483,"11"
"HIP002.1706","SeuratProject",2876,1476,"H1","CD16 Monocyte","10","7",-0.0772012749026215,-0.0326694669413968,"G1","10",2294,1469,"7"
"HIP002.1707","SeuratProject",3184,1490,"H1","CD14 Monocyte","3","14",-0.0451475940595733,-0.105825548565181,"G1","3",2297,1469,"14"
"HIP002.1708","SeuratProject",2900,1462,"H1","CD14 Monocyte","3","12",-0.0844164587474255,-0.012847580139198,"G1","3",2306,1451,"12"
"HIP002.1709","SeuratProject",3950,1467,"H1","CD14 Monocyte","3","17",-0.0437296459065281,-0.0180462944996576,"G1","3",2417,1342,"17"
"HIP002.1711","SeuratProject",3497,1490,"H1","CD14 Monocyte","3","13",-0.0721616362877806,-0.144769524435928,"G1","3",2395,1449,"13"
"HIP002.1712","SeuratProject",3089,1493,"H1","CD14 Monocyte","3","11",-0.0849178676845748,-0.00483558590197108,"G1","3",2268,1467,"11"
"HIP002.1714","SeuratProject",3177,1490,"H1","CD16 Monocyte","5","8",0.0265879408074977,-0.0677848852882465,"S","5",2311,1462,"8"
"HIP002.1715","SeuratProject",3204,1476,"H1","CD16 Monocyte","5","7",-0.00715018505283328,-0.0427834956079242,"G1","5",2329,1447,"7"
"HIP002.1716","SeuratProject",2949,1499,"H1","CD14 Monocyte","3","13",-0.0552559866515577,-0.00599337794945248,"G1","3",2294,1494,"13"
"HIP002.1720","SeuratProject",2953,1497,"H1","CD14 Monocyte","3","5",-0.0599343074439342,-0.0872592834465197,"G1","3",2287,1491,"5"
"HIP002.1721","SeuratProject",2765,1499,"H1","CD14 Monocyte","3","10",-0.0847879431181398,-0.141266871202403,"G1","3",2324,1494,"10"
"HIP002.1723","SeuratProject",2795,1505,"H1","CD14 Monocyte","7","12",-0.0490723593532643,0.0112619572667512,"G2M","7",2312,1502,"12"
"HIP002.1724","SeuratProject",2868,1499,"H1","CD14 Monocyte","3","9",0.0751525305413228,-0.0926005056053854,"S","3",2282,1495,"9"
"HIP002.1725","SeuratProject",3031,1506,"H1","DC","11","15",0.0579591268058266,-0.0895279101170923,"S","11",2321,1499,"15"
"HIP002.1726","SeuratProject",2855,1507,"H1","CD14 Monocyte","7","6",-0.0503403886046196,-0.0587481160203759,"G1","7",2296,1502,"6"
"HIP002.1727","SeuratProject",2841,1501,"H1","CD14 Monocyte","3","17",-0.0957510675191806,0.0294182069476454,"G2M","3",2287,1494,"17"
"HIP002.1729","SeuratProject",4043,1481,"H1","CD14 Monocyte","3","13",0.100045509284852,-0.0443155708115782,"S","3",2408,1324,"13"
"HIP002.1731","SeuratProject",3142,1505,"H1","CD14 Monocyte","3","10",-0.088532242420202,-0.04413858397201,"G1","3",2311,1480,"10"
"HIP002.1733","SeuratProject",3386,1426,"H1","CD14 Monocyte","5","6",0.0159365996346912,-0.0295625772369772,"S","5",2350,1378,"6"
"HIP002.1736","SeuratProject",3185,1516,"H1","CD16 Monocyte","5","7",-0.0525141453203774,-0.0890350324165436,"G1","5",2342,1496,"7"
"HIP002.1737","SeuratProject",3906,1491,"H1","CD14 Monocyte","3","5",-0.075573377637245,-0.0665992538202714,"G1","3",2405,1355,"5"
"HIP002.1739","SeuratProject",3266,1511,"H1","CD14 Monocyte","3","13",0.01153045274055,0.0256718078392753,"G2M","3",2343,1486,"13"
"HIP002.1740","SeuratProject",2744,1531,"H1","CD14 Monocyte","3","10",-0.021892559009359,0.00567222023117717,"G2M","3",2312,1529,"10"
"HIP002.1747","SeuratProject",3314,1532,"H1","CD14 Monocyte","3","9",-0.0266902334472402,-0.0420228975108257,"G1","3",2347,1490,"9"
"HIP002.1749","SeuratProject",3383,1532,"H1","DC","11","5",0.013876280342008,-0.016769208901472,"S","11",2382,1488,"5"
"HIP002.1750","SeuratProject",2915,1537,"H1","CD16 Monocyte","10","7",-0.0099947423247916,-0.11306167761916,"G1","10",2288,1535,"7"
"HIP002.1753","SeuratProject",3684,1529,"H1","CD14 Monocyte","3","5",-0.0566769062059408,-0.0753495261803245,"G1","3",2433,1453,"5"
"HIP002.1755","SeuratProject",3641,1536,"H1","CD14 Monocyte","3","11",-0.0972765053714494,0.0326345747505555,"G2M","3",2434,1476,"11"
"HIP002.1756","SeuratProject",4839,1541,"H1","DC","7","14",-0.00255477307862244,-0.0684469853716754,"G1","7",2228,1074,"14"
"HIP002.1759","SeuratProject",3129,1546,"H1","CD14 Monocyte","3","14",0.0129155442911181,-0.0155925160306058,"S","3",2299,1523,"14"
"HIP002.1761","SeuratProject",3113,1552,"H1","CD14 Monocyte","3","15",-0.0841605275415265,-0.091491741444203,"G1","3",2328,1538,"15"
"HIP002.1763","SeuratProject",3636,1563,"H1","CD14 Monocyte","3","6",-0.0467779764351919,-0.0752654020768634,"G1","3",2414,1502,"6"
"HIP002.1765","SeuratProject",2950,1567,"H1","CD14 Monocyte","7","5",-0.0326287642066804,-0.151373632707534,"G1","7",2308,1560,"5"
"HIP002.1766","SeuratProject",3885,1559,"H1","CD14 Monocyte","3","17",-0.0497156450114093,-0.0962097025689702,"G1","3",2435,1452,"17"
"HIP002.1767","SeuratProject",3335,1574,"H1","CD14 Monocyte","3","0",-0.0870864956434434,-0.0706614928913857,"G1","3",2378,1537,"0"
"HIP002.1768","SeuratProject",3387,1566,"H1","CD14 Monocyte","3","5",-0.0865895746535105,-0.0478175440614714,"G1","3",2366,1514,"5"
"HIP002.1769","SeuratProject",3095,1578,"H1","CD14 Monocyte","3","5",-0.0349574493718119,-0.0947016145748789,"G1","3",2309,1567,"5"
"HIP002.1774","SeuratProject",3708,1567,"H1","CD14 Monocyte","3","5",-0.0562220364812421,-0.128957188309115,"G1","3",2448,1498,"5"
"HIP002.1775","SeuratProject",6523,1551,"H1","CD14 Monocyte","3","5",-0.0616327647977414,-0.0368153241100684,"G1","3",1897,502,"5"
"HIP002.1778","SeuratProject",2857,1547,"H1","CD16 Monocyte","5","6",-0.0538894565087487,-0.131223020385325,"G1","5",2321,1535,"6"
"HIP002.1779","SeuratProject",3291,1582,"H1","CD14 Monocyte","3","10",-0.0297917780053797,-0.0435902775656872,"G1","3",2375,1554,"10"
"HIP002.1781","SeuratProject",3672,1571,"H1","CD16 Monocyte","5","0",-0.0916409423639355,-0.0584292931848143,"G1","5",2435,1498,"0"
"HIP002.1782","SeuratProject",3228,1569,"H1","CD14 Monocyte","3","12",0.00681856608126498,-0.118561541534514,"S","3",2355,1538,"12"
"HIP002.1783","SeuratProject",2922,1579,"H1","CD14 Monocyte","7","5",-0.0564145438581928,-0.0697519154132492,"G1","7",2317,1576,"5"
"HIP002.1784","SeuratProject",3403,1592,"H1","CD14 Monocyte","3","13",-0.0853592399604166,-0.0705524352358331,"G1","3",2397,1555,"13"
"HIP002.1786","SeuratProject",3482,1579,"H1","CD14 Monocyte","7","15",-0.0144441092490234,-0.0493999997122629,"G1","7",2418,1531,"15"
"HIP002.1787","SeuratProject",3258,1573,"H1","CD14 Monocyte","3","11",-0.0532864154020937,-0.094609605306246,"G1","3",2353,1544,"11"
"HIP002.1788","SeuratProject",3007,1581,"H1","CD14 Monocyte","7","5",-0.0339183545294352,-0.0434784160244602,"G1","7",2310,1571,"5"
"HIP002.1791","SeuratProject",3203,1586,"H1","CD16 Monocyte","3","6",-0.00834069315127818,-0.019663371617358,"G1","3",2357,1567,"6"
"HIP002.1793","SeuratProject",3664,1585,"H1","CD14 Monocyte","3","13",-0.0875385210780727,-0.0636925663994477,"G1","3",2436,1510,"13"
"HIP002.1796","SeuratProject",3561,1605,"H1","CD14 Monocyte","3","9",0.0120577296278931,-0.0680601037898119,"S","3",2430,1550,"9"
"HIP002.1797","SeuratProject",4459,1587,"H1","CD14 Monocyte","3","5",-0.0476150840308841,-0.13597481067206,"G1","3",2322,1214,"5"
"HIP002.1798","SeuratProject",3146,1595,"H1","CD14 Monocyte","3","5",-0.0581491439297518,-0.10597088814907,"G1","3",2338,1584,"5"
"HIP002.1800","SeuratProject",3127,1616,"H1","CD16 Monocyte","5","7",-0.0189185701010168,-0.0521701991018331,"G1","5",2314,1596,"7"
"HIP002.1803","SeuratProject",3506,1585,"H1","CD14 Monocyte","3","17",-0.00323567771684943,-0.144675935400043,"G1","3",2437,1545,"17"
"HIP002.1804","SeuratProject",3753,1600,"H1","CD14 Monocyte","3","12",-0.0598141733737707,-0.0707263810457851,"G1","3",2463,1523,"12"
"HIP002.1805","SeuratProject",3909,1614,"H1","CD14 Monocyte","3","11",0.0327510624517467,-0.0586958033544284,"S","3",2463,1475,"11"
"HIP002.1806","SeuratProject",3334,1612,"H1","CD14 Monocyte","3","13",-0.0221383255145361,-0.0492729578771434,"G1","3",2385,1580,"13"
"HIP002.1807","SeuratProject",3801,1597,"H1","CD14 Monocyte","3","14",-0.0561776822399024,-0.0297879263567649,"G1","3",2457,1509,"14"
"HIP002.1808","SeuratProject",3553,1599,"H1","CD14 Monocyte","3","5",-0.0150566120196074,-0.0506022694654569,"G1","3",2434,1544,"5"
"HIP002.1809","SeuratProject",4293,1613,"H1","CD14 Monocyte","3","17",-0.0603775892823893,-0.0953388273027393,"G1","3",2391,1352,"17"
"HIP002.1810","SeuratProject",3818,1624,"H1","CD14 Monocyte","3","2",-0.051398723576668,-0.0433450634114019,"G1","3",2471,1540,"2"
"HIP002.1811","SeuratProject",2937,1608,"H1","CD14 Monocyte","7","5",-0.0333706572253109,-0.075538898988035,"G1","7",2318,1601,"5"
"HIP002.1812","SeuratProject",3541,1627,"H1","CD16 Monocyte","5","7",-0.0291769324172905,-0.0888162958800869,"G1","5",2462,1589,"7"
"HIP002.1813","SeuratProject",4100,1605,"H1","CD14 Monocyte","3","13",0.0544521923823941,0.00262725181129103,"S","3",2461,1438,"13"
"HIP002.1814","SeuratProject",3082,1622,"H1","CD14 Monocyte","7","5",-0.0771527098394429,-0.0342828408077659,"G1","7",2320,1611,"5"
"HIP002.1815","SeuratProject",4582,1604,"H1","CD14 Monocyte","3","17",-0.035221584714886,0.0099395166633354,"G2M","3",2313,1190,"17"
"HIP002.1816","SeuratProject",3464,1613,"H1","CD16 Monocyte","5","20",-0.0168027148966805,0.0118534795131835,"G2M","5",2439,1575,"20"
"HIP002.1820","SeuratProject",4080,1610,"H1","CD14 Monocyte","3","13",0.0346062999311888,-0.063738865876742,"S","3",2451,1410,"13"
"HIP002.1821","SeuratProject",3396,1642,"H1","CD14 Monocyte","3","12",0.00151203397602587,-0.0844209691167861,"S","3",2425,1609,"12"
"HIP002.1822","SeuratProject",4114,1622,"H1","CD14 Monocyte","3","10",-0.084916877633758,-0.00665989319166604,"G1","3",2431,1422,"10"
"HIP002.1823","SeuratProject",3384,1650,"H1","DC","11","5",-0.068942769544883,-0.0287523362402581,"G1","11",2436,1615,"5"
"HIP002.1824","SeuratProject",3802,1651,"H1","CD14 Monocyte","3","5",-0.0669086997638533,-0.106738635341492,"G1","3",2481,1569,"5"
"HIP002.1825","SeuratProject",3419,1650,"H1","CD14 Monocyte","3","11",-0.0877201000923846,-0.126063295046781,"G1","3",2432,1614,"11"
"HIP002.1827","SeuratProject",3739,1642,"H1","CD14 Monocyte","7","5",0.0540022261036854,-0.0463933125336184,"S","7",2452,1556,"5"
"HIP002.1828","SeuratProject",3307,1661,"H1","CD14 Monocyte","3","11",-0.0697530196285286,-0.0903498277779297,"G1","3",2406,1633,"11"
"HIP002.1831","SeuratProject",3244,1626,"H1","CD16 Monocyte","5","20",-0.0715910516974399,-0.0438997128024626,"G1","5",2373,1592,"20"
"HIP002.1834","SeuratProject",3411,1676,"H1","CD14 Monocyte","3","12",-0.0907620264457214,-0.0789503960589661,"G1","3",2419,1636,"12"
"HIP002.1835","SeuratProject",3677,1678,"H1","CD14 Monocyte","3","13",0.00968060253004482,-0.058616966097306,"S","3",2471,1609,"13"
"HIP002.1836","SeuratProject",3346,1664,"H1","CD14 Monocyte","3","5",-0.0816406493963705,-0.0786287924274647,"G1","3",2406,1631,"5"
"HIP002.1837","SeuratProject",3314,1677,"H1","CD14 Monocyte","7","14",0.0143820828958924,-0.0269839904099833,"S","7",2412,1641,"14"
"HIP002.1841","SeuratProject",4120,1684,"H1","CD16 Monocyte","5","8",-0.0448001116851746,-0.014357311103939,"G1","5",2469,1494,"8"
"HIP002.1842","SeuratProject",4612,1670,"H1","CD14 Monocyte","3","5",0.098051625712663,-0.108455103725637,"S","3",2334,1274,"5"
"HIP002.1844","SeuratProject",3790,1684,"H1","CD14 Monocyte","3","11",-0.0320513778331988,-0.0681528367181111,"G1","3",2495,1594,"11"
"HIP002.1847","SeuratProject",3780,1649,"H1","CD14 Monocyte","3","15",-0.0537671313969845,-0.0723478094639915,"G1","3",2479,1559,"15"
"HIP002.1848","SeuratProject",4683,1682,"H1","CD14 Monocyte","3","5",-0.0620145885841224,-0.0931143864049374,"G1","3",2281,1205,"5"
"HIP002.1849","SeuratProject",3235,1669,"H1","CD14 Monocyte","7","15",0.0758427974463768,-0.0596050310957724,"S","7",2388,1637,"15"
"HIP002.1850","SeuratProject",3721,1690,"H1","CD14 Monocyte","3","10",0.00580084997080955,-0.0184416902841977,"S","3",2471,1601,"10"
"HIP002.1851","SeuratProject",3874,1681,"H1","CD14 Monocyte","3","2",-0.075021280139973,-0.021593784440622,"G1","3",2469,1569,"2"
"HIP002.1852","SeuratProject",3596,1670,"H1","CD14 Monocyte","3","14",-0.0640826404180308,-0.0190814331730277,"G1","3",2449,1619,"14"
"HIP002.1853","SeuratProject",3645,1686,"H1","CD14 Monocyte","3","11",-0.0779277885759347,-0.0686406176917741,"G1","3",2433,1595,"11"
"HIP002.1855","SeuratProject",3657,1679,"H1","CD14 Monocyte","3","14",-0.0685638771142223,-0.106686255757655,"G1","3",2470,1605,"14"
"HIP002.1857","SeuratProject",3537,1692,"H1","CD14 Monocyte","3","17",-0.0150572990792096,0.00728661481212595,"G2M","3",2444,1639,"17"
"HIP002.1865","SeuratProject",3815,1715,"H1","CD14 Monocyte","3","2",-0.0330606685302295,-0.0930952184907582,"G1","3",2474,1624,"2"
"HIP002.1866","SeuratProject",3672,1712,"H1","CD16 Monocyte","5","8",-0.0632127819437388,-0.0884874473320615,"G1","5",2482,1649,"8"
"HIP002.1867","SeuratProject",3541,1722,"H1","CD14 Monocyte","3","5",-0.0597696601367039,0.0138801327280212,"G2M","3",2476,1677,"5"
"HIP002.1869","SeuratProject",3640,1723,"H1","CD14 Monocyte","3","9",-0.0598320408762119,-0.0757028272222969,"G1","3",2488,1665,"9"
"HIP002.1872","SeuratProject",4011,1715,"H1","CD14 Monocyte","3","18",-0.091455230124525,-0.0351464680024257,"G1","3",2493,1568,"18"
"HIP002.1875","SeuratProject",5098,1692,"H1","CD14 Monocyte","7","15",-0.00467385906760107,-0.0566686379591604,"G1","7",2113,955,"15"
"HIP002.1876","SeuratProject",3498,1727,"H1","CD14 Monocyte","7","17",-0.0327472587075671,-0.0851281129313954,"G1","7",2480,1682,"17"
"HIP002.1877","SeuratProject",4300,1736,"H1","CD14 Monocyte","3","13",-0.0558526470298061,-0.0322806522264477,"G1","3",2433,1444,"13"
"HIP002.1878","SeuratProject",3900,1736,"H1","CD14 Monocyte","7","14",-0.0815036169891493,-0.0154061667226069,"G1","7",2529,1614,"14"
"HIP002.1880","SeuratProject",4470,1697,"H1","CD16 Monocyte","5","20",0.00798258674009693,-0.106610977424826,"S","5",2357,1309,"20"
"HIP002.1881","SeuratProject",3463,1665,"H1","CD14 Monocyte","7","13",-0.0961105627934122,-0.072776594651864,"G1","7",2453,1620,"13"
"HIP002.1882","SeuratProject",3704,1749,"H1","CD14 Monocyte","3","13",-0.057767571520416,-0.0141403296840238,"G1","3",2501,1678,"13"
"HIP002.1883","SeuratProject",3869,1729,"H1","CD16 Monocyte","5","7",-0.031889598445422,-0.0843149873151545,"G1","5",2511,1626,"7"
"HIP002.1884","SeuratProject",4277,1732,"H1","CD14 Monocyte","3","14",-0.0451155897680746,0.0369219815183349,"G2M","3",2423,1458,"14"
"HIP002.1885","SeuratProject",4391,1739,"H1","CD14 Monocyte","3","14",-0.0856895350976053,-0.089224710958615,"G1","3",2407,1413,"14"
"HIP002.1886","SeuratProject",4691,1730,"H1","CD14 Monocyte","3","5",-0.058164789491843,-0.093676804907681,"G1","3",2330,1263,"5"
"HIP002.1887","SeuratProject",3494,1727,"H1","CD14 Monocyte","3","10",-0.0989987498387214,-0.0947799612202068,"G1","3",2461,1684,"10"
"HIP002.1889","SeuratProject",3802,1745,"H1","CD16 Monocyte","5","7",-0.0710586802167392,-0.0899430582367089,"G1","5",2489,1652,"7"
"HIP002.1891","SeuratProject",3446,1763,"H1","CD14 Monocyte","3","5",-0.0690009214050452,-0.0687275473111007,"G1","3",2473,1725,"5"
"HIP002.1892","SeuratProject",3486,1754,"H1","CD14 Monocyte","3","14",-0.0177431326772668,-0.0822840339253795,"G1","3",2459,1706,"14"
"HIP002.1897","SeuratProject",3956,1770,"H1","CD16 Monocyte","5","8",-0.0137955655859507,0.000615093786262844,"G2M","5",2535,1654,"8"
"HIP002.1899","SeuratProject",4498,1775,"H1","CD16 Monocyte","5","8",-0.0660981076213376,-0.0709888137349887,"G1","5",2392,1380,"8"
"HIP002.1900","SeuratProject",4330,1769,"H1","CD14 Monocyte","3","2",-0.0249689356903523,-0.0668619129430512,"G1","3",2464,1484,"2"
"HIP002.1901","SeuratProject",3493,1785,"H1","CD14 Monocyte","3","20",-0.0937080551183038,-0.161468506698318,"G1","3",2498,1756,"20"
"HIP002.1904","SeuratProject",3984,1799,"H1","CD16 Monocyte","5","7",-0.0267129706667842,-0.0973657079323489,"G1","5",2534,1672,"7"
"HIP002.1905","SeuratProject",3656,1798,"H1","CD14 Monocyte","3","5",-0.0095886602848263,-0.124686568120113,"G1","3",2505,1719,"5"
"HIP002.1906","SeuratProject",3834,1808,"H1","DC","11","6",-0.0408704236621556,0.0634235248915985,"G2M","11",2570,1718,"6"
"HIP002.1907","SeuratProject",4372,1784,"H1","CD14 Monocyte","3","12",-0.0583061535543472,-0.140577714391124,"G1","3",2475,1498,"12"
"HIP002.1909","SeuratProject",4565,1807,"H1","CD14 Monocyte","3","13",-0.0717622632382541,-0.0259939628470331,"G1","3",2384,1376,"13"
"HIP002.1910","SeuratProject",3794,1798,"H1","CD14 Monocyte","3","15",-0.0931241351585819,-0.089568366219293,"G1","3",2532,1710,"15"
"HIP002.1911","SeuratProject",4624,1788,"H1","DC","11","6",-0.0282687823692128,-0.0979630825670402,"G1","11",2365,1326,"6"
"HIP002.1914","SeuratProject",4112,1799,"H1","CD14 Monocyte","3","12",-0.0819237649420234,-0.062625371214536,"G1","3",2527,1615,"12"
"HIP002.1916","SeuratProject",3689,1807,"H1","CD16 Monocyte","10","6",-0.0551001315881437,-0.0252626198133144,"G1","10",2539,1737,"6"
"HIP002.1917","SeuratProject",4656,1814,"H1","CD16 Monocyte","5","0",-0.000105911064232397,-0.0179263130787378,"G1","5",2359,1363,"0"
"HIP002.1918","SeuratProject",4349,1807,"H1","CD14 Monocyte","3","12",-0.0245595081257242,-0.0617940634789835,"G1","3",2471,1508,"12"
"HIP002.1919","SeuratProject",5392,1820,"H1","CD14 Monocyte","3","13",0.0388060527944537,-0.138110307050079,"S","3",2000,925,"13"
"HIP002.1920","SeuratProject",4761,1817,"H1","CD14 Monocyte","3","14",-0.0889973238645257,0.0243133125915347,"G2M","3",2304,1285,"14"
"HIP002.1922","SeuratProject",4011,1827,"H1","CD14 Monocyte","3","9",-0.0304991544720787,0.00535945611390382,"G2M","3",2522,1678,"9"
"HIP002.1924","SeuratProject",3846,1843,"H1","CD14 Monocyte","3","6",0.0101799459594809,-0.0534491083091127,"S","3",2552,1739,"6"
"HIP002.1925","SeuratProject",3874,1840,"H1","CD14 Monocyte","3","13",-0.0956980926371755,-0.08237299798455,"G1","3",2528,1716,"13"
"HIP002.1926","SeuratProject",3771,1838,"H1","CD14 Monocyte","3","17",0.0478882535909504,-0.144414140133163,"S","3",2524,1750,"17"
"HIP002.1927","SeuratProject",4983,1842,"H1","CD14 Monocyte","3","17",-0.0705184020827323,-0.0334685422685261,"G1","3",2175,1167,"17"
"HIP002.1928","SeuratProject",3532,1833,"H1","CD16 Monocyte","3","12",-0.032178646922375,-0.12235839967089,"G1","3",2523,1795,"12"
"HIP002.1929","SeuratProject",4079,1837,"H1","CD14 Monocyte","3","12",-0.012368745370498,-0.047344858632196,"G1","3",2542,1671,"12"
"HIP002.1930","SeuratProject",4524,1845,"H1","CD14 Monocyte","3","20",-0.0941519335323121,-0.0855670973294146,"G1","3",2393,1421,"20"
"HIP002.1931","SeuratProject",4822,1858,"H1","CD14 Monocyte","3","10",-0.0802827389183232,-0.061109305051405,"G1","3",2306,1312,"10"
"HIP002.1933","SeuratProject",4200,1837,"H1","CD14 Monocyte","3","13",-0.099759325928542,-0.0273401551411482,"G1","3",2538,1622,"13"
"HIP002.1935","SeuratProject",5052,1863,"H1","CD14 Monocyte","3","15",0.0121387473543985,-0.0505418261548328,"S","3",2187,1183,"15"
"HIP002.1939","SeuratProject",4214,1885,"H1","CD14 Monocyte","3","17",-0.0761335701547806,-0.0647316018691062,"G1","3",2525,1661,"17"
"HIP002.1940","SeuratProject",4570,1888,"H1","CD14 Monocyte","3","14",-0.0850771255718961,-0.077092685304537,"G1","3",2431,1495,"14"
"HIP002.1942","SeuratProject",4678,1880,"H1","CD14 Monocyte","3","11",-0.0121307278184465,-0.0767049057434131,"G1","3",2354,1398,"11"
"HIP002.1943","SeuratProject",4676,1893,"H1","CD14 Monocyte","3","9",-0.0686451044399169,-0.0154518489880022,"G1","3",2384,1434,"9"
"HIP002.1944","SeuratProject",4397,1899,"H1","CD14 Monocyte","3","10",-0.0741296273331991,-0.0457664605451394,"G1","3",2469,1593,"10"
