"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GSTP1",1.26810433349339e-05,-0.256192971962751,0.539,0.656,0.303343237614954,"0","GSTP1"
"MT-ND2",1.68489484179398e-05,0.280251203090617,0.922,0.899,0.403043695105538,"0","MT-ND2"
"RNF213",2.51051938835734e-05,0.258279904419639,0.726,0.621,0.60054134288896,"0","RNF213"
"TYROBP",2.94024587107043e-05,-0.255263919042297,0.868,0.913,0.703336214818757,"0","TYROBP"
"MAP3K1",5.27673583177193e-05,0.273955616362882,0.511,0.408,1,"0","MAP3K1"
"MT-ND6",0.000248030114766201,0.253684388038199,0.763,0.684,1,"0","MT-ND6"
"S100A9.1",2.2685420733005e-94,1.75684663510336,1,0.746,5.42657949354214e-90,"1","S100A9"
"LYZ.1",1.14979843256392e-93,1.55229718034268,1,0.818,2.75043283053616e-89,"1","LYZ"
"S100A8.1",1.57349295980629e-92,1.70347291018067,1,0.634,3.76395250915261e-88,"1","S100A8"
"VCAN.1",1.85188141316141e-77,1.41387294675895,1,0.663,4.42988552842342e-73,"1","VCAN"
"S100A12",1.41062334996752e-61,0.900456165570926,0.758,0.259,3.37435211545731e-57,"1","S100A12"
"FCN1.1",1.28770287705068e-56,0.946409184796532,1,0.816,3.08031405219294e-52,"1","FCN1"
"MNDA.1",2.13733915135146e-52,0.908157720135518,0.972,0.666,5.11272898394783e-48,"1","MNDA"
"APLP2.1",4.81774028226014e-52,0.853375013811027,0.986,0.827,1.15245165291945e-47,"1","APLP2"
"CD14.1",1.87100908823851e-44,0.824329790806964,0.905,0.492,4.47564083997533e-40,"1","CD14"
"TKT",3.399878176843e-44,0.717863215924277,0.986,0.829,8.13284858682614e-40,"1","TKT"
"PLBD1",1.4854650089753e-37,0.704534522437479,0.777,0.363,3.55338084796982e-33,"1","PLBD1"
"MEGF9.1",1.85153481902187e-35,0.643035035267415,0.825,0.459,4.42905644058221e-31,"1","MEGF9"
"GAPDH",3.19935441041688e-32,0.6255135723566,0.758,0.418,7.65317568515823e-28,"1","GAPDH"
"METTL9",1.30601327723254e-30,0.531550123383417,0.664,0.303,3.12411436046795e-26,"1","METTL9"
"VIM.1",1.79592551698741e-30,0.567960341487964,0.986,0.905,4.29603342918558e-26,"1","VIM"
"PGD",5.67292120306104e-30,0.494990848130238,0.706,0.345,1.35701948098423e-25,"1","PGD"
"FPR1",1.43687674740014e-29,0.548755576010229,0.697,0.347,3.43715286745588e-25,"1","FPR1"
"TSPO.1",2.11219735713982e-29,0.579879495242671,0.905,0.615,5.05258729801417e-25,"1","TSPO"
"TYROBP.1",4.53582931163401e-29,0.545431351845623,0.991,0.904,1.08501572963597e-24,"1","TYROBP"
"CTSB.1",8.13461366782856e-29,0.585009931331186,0.938,0.739,1.94588093548127e-24,"1","CTSB"
"NCF2",2.41511063916981e-28,0.556111393052869,0.953,0.766,5.77718615995811e-24,"1","NCF2"
"BST1",6.80364504367062e-28,0.401666133286921,0.502,0.188,1.62749993089645e-23,"1","BST1"
"ITGAM",7.09815192055861e-28,0.489669744672811,0.659,0.307,1.69794892091682e-23,"1","ITGAM"
"MS4A6A.1",1.41091999682841e-27,0.553766774261229,0.81,0.446,3.37506172441324e-23,"1","MS4A6A"
"PKM.1",3.51593559020784e-27,0.546843830908692,0.891,0.628,8.41046952533618e-23,"1","PKM"
"CSF3R",1.02734211714515e-26,0.474655958980852,0.716,0.365,2.45750507842291e-22,"1","CSF3R"
"GRN.1",2.04001489361207e-25,0.527781966290529,0.919,0.689,4.87991962700944e-21,"1","GRN"
"SELL",1.17277554594672e-23,0.510906535199821,0.701,0.379,2.80539638345915e-19,"1","SELL"
"CSTA",9.15933860021693e-23,0.35143483117318,0.517,0.219,2.19100538655789e-18,"1","CSTA"
"MPEG1",1.6165177339128e-22,0.479142382476643,0.915,0.737,3.86687207129281e-18,"1","MPEG1"
"SULT1A1",2.70950526189041e-22,0.411070920946406,0.517,0.231,6.48140753696805e-18,"1","SULT1A1"
"ANXA1.1",2.98219854549429e-22,0.530012687884703,0.924,0.682,7.13371714067689e-18,"1","ANXA1"
"CEBPD.1",6.64637794587795e-22,0.44790027818367,0.796,0.464,1.58988006843346e-17,"1","CEBPD"
"CTSH",8.57653529528071e-22,0.421626633452988,0.72,0.403,2.0515930079841e-17,"1","CTSH"
"GPX1.1",9.71633802855549e-22,0.457426537383655,0.863,0.538,2.32424521981076e-17,"1","GPX1"
"CTSS",4.61908578913596e-21,0.407085187640984,1,0.986,1.10493151161921e-16,"1","CTSS"
"S100A6",4.97730302815188e-21,0.428486033663476,0.938,0.756,1.19062065736421e-16,"1","S100A6"
"SERPINB1",6.74160847547346e-21,0.457274416528095,0.706,0.416,1.61266016341801e-16,"1","SERPINB1"
"RTN3",1.29028762613979e-20,0.406517202953015,0.673,0.376,3.08649703048898e-16,"1","RTN3"
"CD36",1.83462680149391e-20,0.46926476277491,0.668,0.374,4.38861077185359e-16,"1","CD36"
"CAPG",2.25359350294337e-20,0.377608527649651,0.502,0.224,5.39082101839083e-16,"1","CAPG"
"SRGN.1",2.6937168599774e-20,0.46564964522479,0.953,0.801,6.44364010075193e-16,"1","SRGN"
"JUN",3.72973690088611e-20,0.54412539722966,0.768,0.445,8.92190364060966e-16,"1","JUN"
"CTSD",1.58683733370259e-19,0.429181536184022,0.711,0.414,3.79587358594997e-15,"1","CTSD"
"TALDO1",2.84417103675585e-19,0.380635425626263,0.749,0.46,6.80354153702367e-15,"1","TALDO1"
"RPLP1.1",3.43695515546789e-19,0.464968959735635,0.957,0.794,8.22154042739473e-15,"1","RPLP1"
"FOS.1",7.39382987720691e-19,0.517701216865497,1,0.851,1.76867804492666e-14,"1","FOS"
"KCTD12.1",1.42945306656894e-18,0.441667714544116,0.801,0.516,3.41939468053955e-14,"1","KCTD12"
"CD93",1.85304930985221e-18,0.450838199697444,0.697,0.409,4.43267925409747e-14,"1","CD93"
"HLA-A.1",1.4837193895878e-17,0.387749000787637,0.991,0.945,3.54920515183297e-13,"1","HLA-A"
"CYBB",2.80300311296098e-17,0.442063290489868,0.972,0.874,6.70506374651396e-13,"1","CYBB"
"NCF1",3.37176466920337e-17,0.448686657196954,0.569,0.309,8.06559826520139e-13,"1","NCF1"
"LRRK2",7.42322174137113e-17,0.435058979166179,0.706,0.448,1.77570887275339e-12,"1","LRRK2"
"ITGA4.1",1.00190597616518e-16,-0.50906747260311,0.213,0.509,2.39665928558473e-12,"1","ITGA4"
"ALDH2",3.31707906444307e-16,0.388674533146018,0.678,0.407,7.93478483005426e-12,"1","ALDH2"
"CLEC12A",5.49601684365455e-16,0.378882482443122,0.649,0.389,1.3147021891706e-11,"1","CLEC12A"
"GLIPR2",9.31950288060243e-16,0.326375248688709,0.616,0.348,2.22931828406891e-11,"1","GLIPR2"
"TGFBI.1",1.60975854336231e-15,0.378606224508725,0.791,0.564,3.85070341157697e-11,"1","TGFBI"
"AP1S2.1",1.70707158637562e-15,0.436392890343077,0.73,0.496,4.08348594176911e-11,"1","AP1S2"
"PTAFR",1.71426157381526e-15,0.383471375643494,0.626,0.362,4.10068511072349e-11,"1","PTAFR"
"TPT1.1",2.06408719884779e-15,0.333649890105852,1,0.969,4.9375029883638e-11,"1","TPT1"
"ITGAL.1",4.59792700380743e-15,-0.515908006671847,0.246,0.51,1.09987011858078e-10,"1","ITGAL"
"RNF130",1.88155511035836e-14,0.379065931070823,0.697,0.493,4.50086797948823e-10,"1","RNF130"
"HLA-B",2.19878988931972e-14,0.260213672047574,1,1,5.25972529424169e-10,"1","HLA-B"
"ITGB2",3.67797051424104e-14,0.319288321516394,0.991,0.935,8.79807326711599e-10,"1","ITGB2"
"AMICA1.1",3.98245157508333e-14,0.372999435343271,0.867,0.612,9.52642241275684e-10,"1","AMICA1"
"NAP1L1.1",8.11795519735159e-14,-0.68589830312764,0.45,0.634,1.94189606275847e-09,"1","NAP1L1"
"RGS2.1",1.19640474367182e-13,0.435472217024729,0.872,0.698,2.86191978733735e-09,"1","RGS2"
"HLA-DPA1",4.48367723028569e-13,-0.818134497517812,0.611,0.727,1.07254043025664e-08,"1","HLA-DPA1"
"ENO1",5.34692193091853e-13,0.353540570038147,0.863,0.703,1.27903719509502e-08,"1","ENO1"
"TMSB10",1.86861843217271e-12,0.309223786810735,0.995,0.951,4.46992215160033e-08,"1","TMSB10"
"CSF1R.1",7.68960892832618e-12,-0.598027447915834,0.408,0.585,1.83943135174491e-07,"1","CSF1R"
"CRTAP",8.76833236302309e-12,0.320169198795231,0.54,0.332,2.09747278455875e-07,"1","CRTAP"
"IGF2R",2.55171143429912e-11,0.343565390950432,0.517,0.303,6.10394892198694e-07,"1","IGF2R"
"OGFRL1.1",5.60409453221646e-11,0.309502649808101,0.697,0.499,1.3405554530515e-06,"1","OGFRL1"
"EMILIN2",1.27256310001439e-10,0.308666690158411,0.744,0.538,3.04409819154443e-06,"1","EMILIN2"
"RAB31",1.32265153459683e-10,0.355403983539139,0.692,0.525,3.16391473590909e-06,"1","RAB31"
"LAPTM5",1.7543474390781e-10,0.302794352841079,0.972,0.894,4.19657450901872e-06,"1","LAPTM5"
"TNFAIP2.1",2.54482199958141e-10,0.297932109949163,0.834,0.631,6.08746870519869e-06,"1","TNFAIP2"
"SDCBP",5.74443855303538e-10,0.316373025317857,0.583,0.384,1.37412714627159e-05,"1","SDCBP"
"PLXDC2",7.60954674064586e-10,0.279481473676966,0.607,0.396,1.8202796758299e-05,"1","PLXDC2"
"CFP",9.1746774233328e-10,0.314273401020045,0.787,0.604,2.19467458643544e-05,"1","CFP"
"GAS7",9.42966355377661e-10,0.266936220357852,0.578,0.369,2.2556698186989e-05,"1","GAS7"
"CAST",1.20291138964401e-09,0.312334066927198,0.72,0.532,2.87748433516743e-05,"1","CAST"
"FCGRT.1",1.2169827867642e-09,0.289840850151901,0.739,0.544,2.91114452421864e-05,"1","FCGRT"
"MYO1F",1.95946843457925e-09,0.265249843729966,0.801,0.626,4.68724444235702e-05,"1","MYO1F"
"IL6R",4.18966565089662e-09,0.2746254859465,0.573,0.379,0.000100220992035098,"1","IL6R"
"S100A10",4.80175757773407e-09,0.295124530464713,0.735,0.542,0.000114862843016977,"1","S100A10"
"COX4I1",5.76138201920880e-09,0.252735145188893,0.858,0.7,0.000137818019281494,"1","COX4I1"
"RPL13",7.42189455226811e-09,0.255157845664359,0.948,0.857,0.000177539139584805,"1","RPL13"
"GSTP1.1",1.18960976047612e-08,0.296585557906896,0.791,0.638,0.000284566550803493,"1","GSTP1"
"RPS13.1",1.4332788110568e-08,0.277989635017124,0.919,0.786,0.000342854624392898,"1","RPS13"
"RPS24.1",1.51343737945171e-08,0.275762912124807,0.791,0.633,0.000362029355538644,"1","RPS24"
"NCOA4",1.53628671920764e-08,0.302672659952385,0.749,0.617,0.00036749514610166,"1","NCOA4"
"BRI3",4.50229223699425e-08,0.271410327538196,0.626,0.448,0.00107699332601139,"1","BRI3"
"MT-ND1",4.64901277315042e-08,0.263444122878979,0.991,0.955,0.00111209034546531,"1","MT-ND1"
"RASSF2",6.94874776128864e-08,0.253178296027068,0.763,0.592,0.00166220995197786,"1","RASSF2"
"ALDOA",1.30597974809692e-07,0.260608600385842,0.806,0.678,0.00312403415542265,"1","ALDOA"
"ANXA2",3.14021454956612e-07,0.253829521674467,0.806,0.673,0.00751170722401712,"1","ANXA2"
"UTRN.1",3.83168520155208e-07,-0.366686850499544,0.379,0.518,0.00916577417063274,"1","UTRN"
"DDX5",4.96148240444826e-07,-0.287130267461688,0.777,0.844,0.0118683620596807,"1","DDX5"
"RNA18S5",1.42527649550181e-06,-0.267364570565755,1,1,0.0340940390488988,"1","RNA18S5"
"IL17RA.1",1.719844332235e-06,0.256035847735302,0.635,0.497,0.0411403962713934,"1","IL17RA"
"SOD2",3.70119746801904e-06,0.251410178024789,0.725,0.559,0.0885363446324835,"1","SOD2"
"PTPRC.1",3.96479719900431e-06,-0.318593651188077,0.891,0.928,0.0948419137973821,"1","PTPRC"
"LYN.1",5.54508981938263e-06,-0.426857093946445,0.668,0.709,0.132644093569452,"1","LYN"
"RPS19.1",2.9842782818619e-05,-0.368120596310319,0.763,0.781,0.713869207804185,"1","RPS19"
"JAK1",5.16420510270768e-05,-0.278049804652365,0.393,0.514,1,"1","JAK1"
"HLA-DPB1",0.000895994563900967,-0.559412733507924,0.654,0.679,1,"1","HLA-DPB1"
"RNF213.1",0.00118414810042386,-0.25717673289916,0.573,0.632,1,"1","RNF213"
"TNFRSF1B.1",0.00259318538852754,-0.273313086572302,0.863,0.845,1,"1","TNFRSF1B"
"S100A8.2",1.99124692566381e-89,1.70294279601176,1,0.636,4.7632617708804e-85,"2","S100A8"
"S100A9.2",3.45407586010111e-85,1.67796543812553,1,0.748,8.26249486494786e-81,"2","S100A9"
"S100A12.1",2.93754389557619e-49,0.925695804575161,0.72,0.265,7.02689875260782e-45,"2","S100A12"
"VCAN.2",1.73147146508607e-27,0.638851340415309,0.995,0.666,4.14185289163238e-23,"2","VCAN"
"MNDA.2",2.77147487856656e-27,0.633818714093739,0.926,0.671,6.62964505701908e-23,"2","MNDA"
"HLA-DPA1.1",1.2865982360211e-25,-1.02608779803963,0.413,0.739,3.07767164038607e-21,"2","HLA-DPA1"
"PLBD1.1",2.56759288623123e-22,0.628933969599453,0.677,0.373,6.14193894315373e-18,"2","PLBD1"
"RGS2.2",3.05587908876891e-21,0.596232280063975,0.878,0.698,7.30996836824411e-17,"2","RGS2"
"CD14.2",1.16773188732677e-20,0.55019461584376,0.831,0.5,2.79333144767437e-16,"2","CD14"
"FCN1.2",7.01656421400554e-19,0.496296291659372,0.979,0.819,1.67843232563227e-14,"2","FCN1"
"SELL.1",2.08373326457119e-17,0.522852333669439,0.667,0.383,4.98449834218075e-13,"2","SELL"
"LYZ.2",3.77668048006351e-17,0.432572360504384,0.995,0.82,9.03419737635991e-13,"2","LYZ"
"ITGAM.1",1.77162205576561e-16,0.439608587340922,0.587,0.314,4.23789711959692e-12,"2","ITGAM"
