"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FCGR3A",4.64171477195551e-83,1.51477772571643,0.945,0.342,1.11034459059948e-78,"0","FCGR3A"
"LYZ",9.46159265698314e-76,-2.48565503837079,0.402,0.862,2.26330757947694e-71,"0","LYZ"
"FCGR3B",3.03696884593833e-71,0.946312129106012,0.795,0.245,7.26473317636909e-67,"0","FCGR3B"
"CDKN1C",2.35514667397354e-65,0.86200817194996,0.717,0.207,5.6337463588121e-61,"0","CDKN1C"
"S100A9",2.68223507708836e-61,-2.69447733368455,0.342,0.794,6.41617452790307e-57,"0","S100A9"
"VCAN",2.54452965285652e-60,-2.3957866139712,0.178,0.723,6.08676938259807e-56,"0","VCAN"
"S100A8",3.60378036084115e-56,-2.35982339140401,0.151,0.696,8.6206030011681e-52,"0","S100A8"
"FOS",4.5191855696975e-52,-1.34794469314118,0.571,0.882,1.08103438012734e-47,"0","FOS"
"FCN1",2.93465490486615e-44,-1.21708043548711,0.525,0.851,7.01998799793032e-40,"0","FCN1"
"NAP1L1",6.57224749983073e-44,0.83845052326571,0.909,0.601,1.57214732443451e-39,"0","NAP1L1"
"MTSS1",2.49716526750483e-42,0.664760431918486,0.635,0.234,5.97346903639831e-38,"0","MTSS1"
"CD14",5.09731945481315e-42,-1.09101514439378,0.055,0.554,1.21932978678585e-37,"0","CD14"
"MS4A6A",1.16314045923608e-35,-0.838244489146305,0.046,0.501,2.78234829253863e-31,"0","MS4A6A"
"LYN",1.70579132005754e-34,0.705217399461927,0.918,0.69,4.08042341670964e-30,"0","LYN"
"TCF7L2",1.1768658678362e-33,0.536398774051996,0.553,0.203,2.81518084245097e-29,"0","TCF7L2"
"MNDA",2.10075260344391e-33,-0.914761180988419,0.342,0.712,5.02521030269819e-29,"0","MNDA"
"GPX1",4.18783852806031e-32,-0.756491888221863,0.164,0.589,1.00177285429731e-27,"0","GPX1"
"ITGAL",1.73280008451285e-30,0.61255574722604,0.799,0.47,4.14503108216318e-26,"0","ITGAL"
"MS4A7",2.46545433166468e-30,0.64558483849507,0.804,0.449,5.89761330677508e-26,"0","MS4A7"
"GRN",1.56107334827523e-29,-0.752396195677216,0.388,0.727,3.73424355640918e-25,"0","GRN"
"RPS19",6.7676252642994e-29,0.614205894451521,0.932,0.769,1.61888363947306e-24,"0","RPS19"
"SPN",8.16403407565873e-29,0.666770083637295,0.744,0.407,1.95291859123832e-24,"0","SPN"
"RHOC",8.57295910033392e-28,0.434000825107824,0.521,0.198,2.05073754639088e-23,"0","RHOC"
"AMICA1",1.40383783113632e-27,-0.717290820854709,0.292,0.654,3.35812047586118e-23,"0","AMICA1"
"PTPRC",5.51186472382255e-27,0.555664027019428,0.986,0.921,1.31849316058559e-22,"0","PTPRC"
"HLA-E",1.4179962034931e-26,0.523134547696501,0.991,0.978,3.39198871837585e-22,"0","HLA-E"
"SIGLEC10",3.50609224065074e-26,0.551512737231868,0.635,0.312,8.38692324886063e-22,"0","SIGLEC10"
"FOSB",4.67457147955935e-24,-0.721575082321144,0.16,0.509,1.11820424362539e-19,"0","FOSB"
"TNFRSF1B",1.49739434403153e-23,0.529622373443992,0.954,0.838,3.58191701035782e-19,"0","TNFRSF1B"
"PAG1",2.33479367617348e-23,0.466928384738553,0.548,0.247,5.58505995277458e-19,"0","PAG1"
"APLP2",4.20723937506994e-23,-0.679504376840462,0.68,0.85,1.00641373091048e-18,"0","APLP2"
"CSF1R",5.41356731646072e-23,0.627392192248029,0.826,0.555,1.29497943777057e-18,"0","CSF1R"
"LST1",1.24650061473378e-22,0.547081432630989,0.89,0.71,2.98175412050469e-18,"0","LST1"
"IFITM2",1.4948717269243e-22,0.478216126760426,0.658,0.348,3.57588265797563e-18,"0","IFITM2"
"IFITM3",4.5198112432086e-22,0.517093014286235,0.607,0.302,1.08118404748793e-17,"0","IFITM3"
"RP11-290F20.3",6.5308498722583e-22,0.478032608550188,0.548,0.261,1.56224459794291e-17,"0","RP11-290F20.3"
"RPLP1",7.76706491659655e-22,-0.619831391971456,0.607,0.819,1.85795959869906e-17,"0","RPLP1"
"KCTD12",8.03345022350173e-21,-0.578238050698226,0.247,0.557,1.92168162796385e-16,"0","KCTD12"
"HLA-DRA",1.60356615547315e-20,-0.926929868111068,0.717,0.865,3.83589060050733e-16,"0","HLA-DRA"
"CD74",5.37697833617827e-20,-0.802522980497794,0.881,0.946,1.28622698779721e-15,"0","CD74"
"VIM",3.10843172596377e-19,-0.620200092707467,0.84,0.915,7.43567953167794e-15,"0","VIM"
"CEBPD",2.89046600087805e-17,-0.490097638267686,0.219,0.506,6.91428372070038e-13,"0","CEBPD"
"LYST",7.21225418095397e-17,0.536458276905988,0.826,0.632,1.725243322626e-12,"0","LYST"
"MEGF9",1.08957903578404e-16,-0.511574092651081,0.215,0.503,2.606382011499e-12,"0","MEGF9"
"LILRB1",2.10108171479606e-16,0.442148739354184,0.616,0.369,5.02599756996366e-12,"0","LILRB1"
"PTP4A2",3.55297696001615e-16,0.443057043573536,0.89,0.758,8.49907618605462e-12,"0","PTP4A2"
"HLA-DRB1",7.46082654061688e-16,-0.738768834525989,0.708,0.873,1.78470431678096e-11,"0","HLA-DRB1"
"CPVL",7.73942979824076e-16,-0.517922158141188,0.283,0.547,1.85134900203717e-11,"0","CPVL"
"MBD2",1.73895969631183e-15,0.447788297728189,0.63,0.399,4.15976548954753e-11,"0","MBD2"
"TPT1",1.9498230231749e-15,-0.427991769040991,0.927,0.974,4.66417165373668e-11,"0","TPT1"
"RASSF5",4.16578385332608e-15,0.385114929403268,0.694,0.445,9.96497155554131e-11,"0","RASSF5"
"PIK3AP1",4.56794649224234e-15,0.442642042099843,0.699,0.469,1.09269848040929e-10,"0","PIK3AP1"
"NFKBIZ",5.00666985773524e-15,0.432321981154218,0.662,0.422,1.19764549666885e-10,"0","NFKBIZ"
"PTPN6",6.59771450657758e-15,0.418508186824078,0.721,0.509,1.57823928711842e-10,"0","PTPN6"
"CAP1",4.23607547914268e-14,0.424843286969012,0.886,0.773,1.01331161536572e-09,"0","CAP1"
"AIF1",1.34337323344679e-13,0.370357576126233,0.927,0.835,3.21348311172806e-09,"0","AIF1"
"AP1S2",1.60575906514027e-13,-0.449047885396366,0.297,0.527,3.84113625972204e-09,"0","AP1S2"
"PPP1R15A",1.67935103936923e-13,-0.470436660118431,0.37,0.608,4.01717562127515e-09,"0","PPP1R15A"
"LILRB2",5.78385648758516e-13,0.441108739946731,0.749,0.586,1.38355631039525e-08,"0","LILRB2"
"ANXA1",1.17587887070965e-12,-0.520856351314177,0.525,0.711,2.81281984662455e-08,"0","ANXA1"
"FCGRT",2.29485665990353e-12,-0.379405827663267,0.342,0.572,5.48952661615524e-08,"0","FCGRT"
"MTPN",3.99185779364896e-12,0.324616110586083,0.562,0.339,9.54892302818768e-08,"0","MTPN"
"ACTR3",4.426280729718e-12,0.385372857591372,0.731,0.579,1.05881061335584e-07,"0","ACTR3"
"TXNIP",4.924731043127e-12,0.3451989702281,0.968,0.939,1.17804491282641e-07,"0","TXNIP"
"OGFRL1",1.01104193147482e-11,-0.371542471194926,0.297,0.528,2.41851340428091e-07,"0","OGFRL1"
"SEPT9",1.35093919250406e-11,0.338234995601474,0.68,0.467,3.23158164238897e-07,"0","SEPT9"
"POU2F2",1.41673308790333e-11,0.37033841161211,0.694,0.506,3.38896721957355e-07,"0","POU2F2"
"VASP",2.51617375328305e-11,0.382000137694736,0.699,0.532,6.01893923522838e-07,"0","VASP"
"HLA-DRB5",3.4708343067415e-11,-0.510505396096146,0.288,0.52,8.30258274515635e-07,"0","HLA-DRB5"
"WARS",4.63143073875108e-11,0.468716814549844,0.667,0.502,1.10788454701665e-06,"0","WARS"
"SELPLG",5.30383588370346e-11,0.302091965720163,0.534,0.337,1.2687305817407e-06,"0","SELPLG"
"LRRFIP1",8.19270880070247e-11,0.36819890236632,0.84,0.754,1.95977787221604e-06,"0","LRRFIP1"
"TSPAN14",1.13579419740023e-10,0.348867330057398,0.534,0.347,2.71693329960109e-06,"0","TSPAN14"
"TNFAIP2",1.19002761833764e-10,-0.340620080905615,0.452,0.659,2.84666506582547e-06,"0","TNFAIP2"
"PGK1",1.43459565504467e-10,0.362107545418777,0.749,0.592,3.43169626643236e-06,"0","PGK1"
"SERPINA1",1.43949944420115e-10,0.35492981641808,0.84,0.677,3.44342662047358e-06,"0","SERPINA1"
"CTSB",1.74976082282359e-10,-0.387515880448795,0.63,0.761,4.18560286427631e-06,"0","CTSB"
"ARPC2",5.65650080322338e-10,0.316484824528772,0.89,0.805,1.35309155713907e-05,"0","ARPC2"
"SYK",6.06203290706565e-10,-0.338032782973194,0.402,0.593,1.45009889169917e-05,"0","SYK"
"TGFBI",7.8715043095036e-10,-0.370890298979213,0.406,0.592,1.88294254587636e-05,"0","TGFBI"
"LRRC25",7.91026855799315e-10,0.304412020978574,0.53,0.344,1.89221534175754e-05,"0","LRRC25"
"RPL31",1.49004511506868e-09,-0.35341471045344,0.731,0.845,3.56433691975579e-05,"0","RPL31"
"SULF2",2.28878771824168e-09,-0.330517557187691,0.329,0.525,5.47500910080592e-05,"0","SULF2"
"RAB10",3.22984795452948e-09,0.334786023336966,0.543,0.37,7.72611929202996e-05,"0","RAB10"
"WASF2",4.42918269363474e-09,0.318128097513616,0.667,0.521,0.000105950479214437,"0","WASF2"
"EZR",4.90675318052411e-09,0.315782782937276,0.534,0.363,0.000117374442831317,"0","EZR"
"BIN2",4.95471023920894e-09,0.340790893174239,0.667,0.512,0.000118521623632117,"0","BIN2"
"PKM",5.55225348241111e-09,-0.331746668718328,0.484,0.658,0.000132815455552756,"0","PKM"
"COTL1",5.99153627569454e-09,0.315520632106218,0.936,0.893,0.000143323539250889,"0","COTL1"
"SRGN",6.21354168899792e-09,-0.34190175051064,0.708,0.819,0.000148634130742519,"0","SRGN"
"RNA28S5",6.2677716499492e-09,-0.344334926792311,1,1,0.000149931365638435,"0","RNA28S5"
"MT-RNR1",1.39279527294396e-08,-0.256296830888597,0.995,0.999,0.000333170557240924,"0","MT-RNR1"
"TSPO",2.0725329328719e-08,-0.325398107835375,0.47,0.647,0.000495770602872287,"0","TSPO"
"TPM3",2.2568840444782e-08,0.299800492157148,0.845,0.787,0.000539869232279629,"0","TPM3"
"IL17RA",2.50587356837376e-08,-0.342038214187546,0.356,0.517,0.000599430016290688,"0","IL17RA"
"RGS2",2.92495629794334e-08,-0.42702853864456,0.635,0.715,0.000699678796031025,"0","RGS2"
"FLNA",3.14370480713623e-08,0.318072792959356,0.836,0.745,0.000752005626915057,"0","FLNA"
"NFKBIA",3.73775900420585e-08,-0.386716104362506,0.543,0.692,0.000894109331396081,"0","NFKBIA"
"MACF1",4.00781782490772e-08,0.365381140114321,0.612,0.464,0.000958710101896175,"0","MACF1"
"RPS13",4.53252900868412e-08,-0.314378336259483,0.671,0.804,0.00108422626416733,"0","RPS13"
"UTRN",6.0650947740796e-08,0.313857023906012,0.662,0.497,0.00145083132090758,"0","UTRN"
"HCK",6.74435781269554e-08,0.29252574039549,0.658,0.504,0.0016133178323749,"0","HCK"
"RPL37A",1.00320791123281e-07,-0.25821095962506,0.457,0.64,0.00239977364445999,"0","RPL37A"
"CST3",1.10408978620748e-07,-0.36445745672821,0.731,0.828,0.0026410931775869,"0","CST3"
"FAM65B",1.28974151024718e-07,0.290654801838118,0.589,0.435,0.00308519066666228,"0","FAM65B"
"SAT1",1.4036463415585e-07,0.300758342388178,0.881,0.826,0.00335766241364208,"0","SAT1"
"ZFAND5",1.78489929666636e-07,0.316058126543385,0.735,0.603,0.0042696576075556,"0","ZFAND5"
"GNB2L1",2.40948158334381e-07,-0.26589172558492,0.845,0.909,0.00576372089551673,"0","GNB2L1"
"CMTM6",2.5123680428556e-07,0.299949083720712,0.644,0.497,0.00600983559531489,"0","CMTM6"
"RPS24",3.18504562920359e-07,-0.292092610219067,0.521,0.652,0.0076189476496179,"0","RPS24"
"FCER1G",5.70523569166064e-07,0.290427842454238,0.717,0.585,0.0136474942980214,"0","FCER1G"
"ACTR2",7.15625612661079e-07,0.268460746507887,0.845,0.762,0.0171184802804657,"0","ACTR2"
"EHBP1L1",8.19755491958202e-07,0.264353301909215,0.58,0.439,0.0196093711231321,"0","EHBP1L1"
"CANX",1.34868256466248e-06,-0.295049105701993,0.534,0.672,0.0322618356292911,"0","CANX"
"MAFB",1.47733669154456e-06,0.276219104224635,0.598,0.44,0.0353393709984375,"0","MAFB"
"RPS11",2.93281437900968e-06,-0.281248886644579,0.945,0.944,0.0701558527602905,"0","RPS11"
"ADRBK2",3.09715317922224e-06,0.25738170851868,0.511,0.372,0.0740870012001752,"0","ADRBK2"
"ARL6IP5",3.23418107711431e-06,0.256307194497394,0.603,0.463,0.0773648455456514,"0","ARL6IP5"
"RPL23",3.34303132568629e-06,-0.257414954318324,0.575,0.751,0.0799686523417418,"0","RPL23"
"CFL1",3.38705948655886e-06,0.276892982789408,0.826,0.756,0.0810218499779745,"0","CFL1"
"SAMHD1",6.26977305702606e-06,-0.275388982120467,0.79,0.862,0.14997924129712,"0","SAMHD1"
"YWHAZ",6.48167785414791e-06,0.261087006491688,0.671,0.564,0.155048215949072,"0","YWHAZ"
"ARHGDIB",7.47353142842273e-06,0.259820711044095,0.795,0.76,0.1787743452993,"0","ARHGDIB"
"ITGA4",9.2536422250364e-06,0.253751855390196,0.621,0.48,0.221356375665096,"0","ITGA4"
"HLA-A",9.98154615117315e-06,-0.259361250137377,0.95,0.948,0.238768565482213,"0","HLA-A"
"MT-CYB",1.02403836676058e-05,0.25484691769228,0.968,0.927,0.244960217712798,"0","MT-CYB"
